id,text
,휴 ㅠㅠ자리 안나네요
밥먹는 갈매기,저도가요
밥먹는 갈매기,"낼 광주경기는 또 취소 되는 거 아닌지 걱정스럽네요.. 
낼 저녁에 또 비소식 있던데..ㅜㅜ"
박찐양⚾️,좋으시겠어요^^
이토록 친밀한 방츄리,기아 망해라
,쭉 져라그냥
운동하는 황제펭귄,또 연패할까봐 볼 맘이 안생김 아니 잔루 타이거즈도 아니고 잔루로 기록세울 기세임
이토록 친밀한 방츄리,잔여갱기 전패해라
이토록 친밀한 방츄리,2연승이나 위닝시리즈가꼬가믄 이범호 어깨뽕 올라간다
조,네일 안쉬냐?
i2ove,차피 잔여경기 13승 이상은 해야 가을 갈수도
이토록 친밀한 방츄리,또 자율야구 총력전 개소리헌다
,잔여경기 전패해라
,실력으로 1승이나 할랑가 의문이긴하다
,전세계가 분노중이다
운동하는 황제펭귄,믿었던 김선빈까지 병살로 말아먹고
조,200이닝 네일 채워줄라 하나봐
,키플레이어 나성범 이거 맞냐?
i2ove,어제 병살 몇개였냐
조,2개
i2ove,병살 2개에 잔루 13개
,미친건가
순한맛와사비,뭔 저런 인간이 있냐. 리얼 올해 무슨짓을 했는지 전혀 모른체 한다는게 말이되냐 ㅋㅋ 유갑떠네
조,아니 아무리 경기가 중요해도 그렇지
,네일 혹사는 아니다
순한맛와사비,저런놈 믿고 기야야구를 응윈한다는것 자체가 넌센스다.
조,올스타 전에 3일에 한번씩 등판한건 쉬는 날이 보장이 됐던거고
,지금은 아닌데
슬픈 햄스터,최원준다시기아로돌아온데요
조,네일 짜고 괴롭히나?
조,걔 엔씨가서 행복하다 했는데
조,아니 네일 진짜 화병나서 재계약 안 하겠네
,뭐하냐
조,김도현도 좀 나아졌고 삼성에 약하지도 않으니까 김도현 쓸만도 한데
슬픈 햄스터,저희학교에기아에친구가한명있는데물었봤는데온다는데요??
이토록 친밀한 방츄리,니생각?
슬픈 햄스터,아니요기아에요
조,최원준 착하니
순한맛와사비,사진
물개형,저녁 뭐먹지
조,그니깐 님 친구가 기아에 프로입단 해서 최원준한테 물어봤더니 최원준이 다시 돌아올꺼라 했다는 거지?
물개형,간단하게 김밥 한줄 할까
슬픈 햄스터,아니요
이토록 친밀한 방츄리,이범호 기싸대기마렵네
조,그걸 믿나ㅋ
이토록 친밀한 방츄리,클린봇이 부적절한 표현을 감지했습니다.
