id,text
@yangsoonee-m7o,"오늘 6회말부터 눈물났다. 꼭 이기고 싶은 의리의 마음과 그걸 지키고 싶고 가을야구 희망의 끈을 놓지 않는 우리 선수들의 간절함이 느껴져서....얘들아, 가을야구 까짓거 못가도 뭐라 안한다. 팬들은 이렇게 마지막까지 간절하게 열심히 하는게 보고싶다."
@김주열-y5p,이의리 2년만에 선발 승리 축하하고 마지막까지 최선 다하자!! 기아!!
@띠땅뿌-j1n,작년같은 느낌은 없지만 그래도 이런 야구를 원했었습니다 이의리 선수 시즌 첫 승 축하드리고 위즈덤 선수 32호 홈런 최형우 선수 23호 홈런 축하드립니다 오늘 투타 벨런스가 아주 좋았습니다
@ohsunwoo_56,의리 오랜만에 행복해보인다...
@Charlie-vd5of,527일만에 선발승! 의리 축하해!
@yuuuuuniiiii,의리야 내년엔 인터뷰 더 많이 하자 오늘 너무 잘했다 이제 아프지 말고!!! 승투추카해️️️️️
@widnsksb,오늘 경기보는데 선수들이 다 간절해보여서 눈물 좔좔..기아야 앞으로 더 잘해보자!!
@user-ft5ve9pp9v,잠실 직관 얼마만에 이기는건지🥹 오늘 너무 재밌었습니다 시즌 끝까지 이런 투지 보여주길
@wyequ0,직관햇ㅇ어요 감사합니다 이겨주셔서.. 재밋엇어용 오늘
@moonlight_0918,"오늘 직관 너무 재밌었어요
의리 올해 첫 승리 축하!!"
@Raye-w2s,"오랜만에 직관 .
외야에서 죽어라 소리지르며 응원한보람이 있었던 하루네요.
선수들  진짜 수고 많으셨습니다.
선수들이 포기하지 않았듯이 우리들도 포기하지 않았습니다.
최고였습니다~!"
@리다탱,의리 승투 축하해요!! 직관 승요 꼭 해보고 싶었는데 오늘 경기보는 내내 행복했어요선수들 모두 고생했어요!
@theandbboy,희망야구 끊을 수가 없다내일도 화이팅
@승준안-r6j,최형우 진짜 대단하다...중요할때 역시 한방해주네
@Rainy_Min,때때아부지 20경기연속안타 진심 축하해요의리 복귀첫승 진심으로 축하해
@yuseol_0108,"기아 꾸준히 노력하면 가을야구 나갈 수 있어 !!
힘들더라도 꾸준히 버텨줘서 고맙고,꼭 가을야구 나가자 !!"
@ahyor72,"선수들 고생많으셨습니다~! 
감사합니다"
@ymixxe,"자고로 기아 타이거즈 박찬호란 말이지 2014년에 입단해서 광주 챔필을 접수한 레전드 투타 만능 내야요정이라구 50m 달리기 올림픽대표급, 수비 범위는 광주 전역을 넘어 호남까지 커버, 2루든 유격이든 3루든 박찬호 한 명이면 내야 전체가 박찬호존이라구 말이야 번트 하나로 상대 팀 정신줄을 날려버리고 땅볼조차 안타로 만들어버리는 기적의 다리와 손을 가진 사나이 챔필 전광판을 다 팔아도 박찬호가 만들어낸 드라마와 짤방 가치에는 한참 못 미친다니까 팬들은 그를 미스터 기복이라고 부르지만, 중요한 순간마다 터지는 찬호매직은 전설로 남지 타격 삽질도 팬들 웃음 제조기용, 내야 수비는 기관차용, 번트와 주루는 스릴러용… 이 모든 걸 합쳐놓은 것이 바로 기아의 박찬호다."
@nurungiji,한화팬인 회사직원이 이번 엘지기아전 기아가 2승따주면 유니폼사준대서 오늘 진심응원함ㅋㅋ 오늘 이기고 결과 캡춰해서 보냈으니 내일도 이겨줘 기아화이팅이의리 오늘 피칭 멋졌음 승리축하해
@JUNGHO_LIM,이대형 해설위원님 해설이 진짜 명품이네요! 짧은 하이라이트여도 왜 이런 상황이 발생했는지 정확한 설명이 항상 잘 듣고 있습니다!
@do000o-12,찬호선수 멋져요
@도토리-i9l,"""이름 세 글자가 드디어 승리로!
의심에도 포기하지 않았던 의지. 
리턴, 오래 걸려 돌아왔지만

그보다 훨씬 더 오래 타이거즈를 지켜줄 이름, 이의리! 기아의 희망이, 진짜 복귀를 신고합니다!"""
@minseoz,이의리 복귀 첫 승 축하해광주야구의리거!! 의리 말처럼 가을야구 갔으면..
@영재-j4f,기아 하이라이트.. 매일 보게해줘 으앙
@bwoh4395,"이의리 선수 선발승 축하합니다~
그리고 위즈덤, 최형우 선수의 홈런포 너무 달달했고, 박찬호 선수 공수 크레이지모드였네요!!!
9월달 타율 거의 5할은 될듯ㄷㄷ
그리고 정해영 선수 자신감 있게 던져서 마무리 해줘서 고맙습니다!!!
그리고 정해원 선수랑 박재현 선수 데리고 다니면서 조금이라도 여유있을때마다 기회주시는 감독님도 감사합니다!!
박재현 선수 신인답게 열심히 주루하는 모습 볼때마다 귀엽네요ㅋㅋ
정해원 선수는 자신있게 스윙해서 안타 꼭 만들어냅시다!!
남은 경기도 기아타이거즈 파이팅!!!!"
@최정옥-k3k,"때때아빠 박찬호 공수모두 멋짐폭발~^^
매순간 최선을다하는 열정이 넘 멋져요~~"
@if도르극혐,"으리 첫승 기아2연승 4안타 찬호 주장 2안타 적시타 등등 잘했음특히 주장 적시타가 젤 눈물나게 좋다..
앞으로도 이렇게 쳐줘 nnn번째 부활가자"
@do0d5gy0,박찬호 싸인 어디까지 왔나요
@wiz1537,아니 캐스터 마지막 멘트 너무 좋음ㅠㅠ
@조노우_22,박찬호 4안타 경기 미쳤다(P) 이의리 527일만에 승투 미쳤다 (PP)
@bjkim822,뭔 임찬규 삼진잡는 장면을 길게 보여주냐 이의리는 플라이 잡는거 하나 나오고 ㅋㅋㅋㅋ 승리투수 이의리 아니여?
@앵겅주,한화팬인데 진짜 기아형님들 너무 감사합니다. 오늘은 기아 경기보면서 응원했습니다.
@user-daaain,오늘진짜 선수들고생했다
@honey-zs6jy,최형우 배트플립 지린다
@살레시오-p6w,11:59덕분에 우리가 집에서 치어리딩 영상을 볼 수 있게 해주시는 고마우신 분이긴 한데 야구에는 관심이 없으신가ㅋㅋㅋㅋㅋㅋ
@aboosun,"박찬호 선수 너무너무 잘하네요~
끝까지 희망을..."
@User-bu2oy6sk5v,"(이)름 세 글자가 드디어 승리로!
(의)심에도 포기하지 않았던 의지. 
(리)턴, 오래 걸려 돌아왔지만
그보다 훨씬 더 오래 타이거즈를 지켜줄 이름, 이의리! 
기아의 희망이, 진짜 복귀를 신고합니다!""

삼행시였음...미친"
@김성빈-p4l,와 역시 박찬호 수비 그냥 kbo 탑 클래스 증명하네 ㅋㅋㅋㅋㅋ
@바람둥이소닉-g3o,9회말 2아웃때 1점 내주고 불안했는데 그래도 잘마무리 해준 정해영 애썼고 이의리 올해 첫승 축하해~ 요새 박찬호 타격감 지렸고 요새 잠잠하던 내최애 오선우 2안타♡ 위즈덤 최형우 홈런 나 어제 오늘 진짜 설렌다ㅠㅠ
@oh.sun.wooooo,오늘 베테랑들 표정을 보고 많은 생각이 들었지만 잘맞은타구가 잡혀서 본인들도 더 답답했을거라 생각합니다.06얼라 호민이랑 도현이도 실점은 많이했지만 고생 많았고 기훈이도 올라와서 정말 잘던져줬고 재승이랑 현수도 고생많았어요. 현종선수도 힘들겠지만 잘 이겨낼거라 믿고 찬호 연속 안타 끊겨서 본인이 더 아쉬울거같지만 항상 흙니폼으로 매경기 간절하게 야구 해줘서 너무 고맙고 프랜차이즈이자 기아에서 제일 잘하고 멋진 유격수니까 앞으로 더 오랫동안 기아에서 활동하길...
@oh.sun.wooooo,"의리 527일만의 첫 승 축하해.오늘 경기는 특히 작은거인 김선빈,캡틴 나성범, 해결사 최형우와 기아의 보물 박찬호,기회를 잡은 신인들과 올시즌 이름을 알린 선수들,실점을 피하려고 노력하는 불펜들까지 모두의 간절함이 많이 보인 경기 였던거같고 지금 좀 주춤하는 호령아 누가뭐래도 기아의 최고 중견수니까 지금 좀 힘들고 안풀려도 다시 한번 이겨내서 경기를 호령할수있게 더 응원할게"
@김태현-taehyeon,"1:231:29위즈덤선수 시즌 32호 홈런9:20위즈덤선수의 왼쪽 안타
1루수비도 잘하는 위즈덤선수입니다
박찬호선수 4개 20경기 연속 안타
이의리선수 2년만의 승리투수"
@user-minjinny,오늘 중계 너무 감동적이네요ㅠㅠ
@chch183,00:48아닠ㅋㅋ뛰어가면서 웃는거 같은게 너무 웃기네 ㅋㅋㅋㅋㅋ
@김철희-y7e,"박찬호요쯤너무잘해주고있다
앞으로남는경기계속잘해주길
수비도너무명품수비잘해주고있다
부상조심하고
남는경기잘해서가을야구합시다
희망있습니다"
@젊은미소-l2y,한) 오늘LG 이겨줘서 너무고맙고  기아도 꼭 가을야구 진출하길 응원하겠습니다    기아타이거즈
@gglovekbs,"타이거즈 선수들이 경기를 포기하지 않듯이
갸팬들은 가을야구로 행복하게 야구하는 호랑이를 포기하지 않았습니다"
@짱양이,"영탁, 상현.."
@peanutday-c7z,의리야 진짜 너무 고맙고 앞으론 계속 건강만 하길 오늘 1승 축하해
@rose-yo3ks,주말전 한 경기라도 이겼으면 좋겠다 싶었는데 진짜 이겨버렸네역시나 믿고 보는 성영탁-전상현 필승조
@thddk4230,4:23이거 작년 김도영 lg전 질주 생각나는 주루네요 ㅎㅎ
@ming-3501,"1:41오스틴이 위즈덤한테 뭐라고 하니까 위즈덤이 씨익 웃는 것 같아요 ㅎㅎㅎ
오스틴이 뭐라고 했는지 궁금 ㅎㅎ 갸티비가 대신 물어봐주세요 ㅎㅎ"
@genieons,아니 박찬호2:15미쳤네
@명수윤-f2n,"의즈덤 내년에  한번더 기회를
한국야구에 적응하면 무서운
타자될것같아요
왠지 친근감이듬"
@hye8510,이 경기를 잡았어내일도 화이팅!!!!
@님꿀벌사마,위즈덤 1루 수비 진짜 개잘해
@김영향력-b2l,이의리 수고 많아따!! 앞으로 남은 승 다 챙기자!!
@sillok03,승리의 기아!
@seonm4898,가을의 건조한 날씨에 잘 붙는 불씨처럼 가을야구 불씨 지펴보자
@도래미-x5t,"의리선수 축하해요.
엠비피는 박찬호선수"
@김주연-w8s,오늘 범호감독 얼굴이 자주안보여서 좋았다 ㅋㅋ 요새하도 감정표현이 많이보여서 좀 그랬는데..  선수들 뒤에서 묵묵히 이기는경기 보이는 듯 안보이는듯 지원하는게 감독의 역할인듯
@luvnft7990,박찬호 파이팅
@22vivi22,선발승 축하해요 의리선수!
@he4139,의리야 승리투수 축하해 오늘 친구랑 밥 먹는데 너가 승리투수 돼서 내가 밥 삿다!!!!!!!! 축하해
@이근본-t7v,때때아빠야구잘해
@그저빛-l3q,의리야믿고있었어찬호랑이나스타형우아부지감사해요
@minjiimnida,이의리 축하해
@v__v6554,한) 엘쥐 7-8월 달리느라 수고했어요. 많이 힘드시죠? 9-10월 푹쉬세요...
@김철희-y7e,선수들오늘수고들많았습니다
@용용-k2o,05:11확신의 빠던
@yws5454,와우   박찬호 선수 4안타  ㅎㄷㄷ
@jeongunchoi8128,2:55넘었다~  넘어갑니다 인걸 알지만 넘었다~ 라고 들리는데 개웃 ㅋㅋㅋㅋㅋㅋ
