id,text
히히하하호호허허,또 허리 아프면
히히하하호호허허,4일 쉬어서 불펜 걱정은 안해도 됨요
,빠따만
박경철,낼두산선트곽빈공략해3점내고형준7회무실점투구로불펜쉬게해두자
ghd4546,형준이 9승이라도
,에고고
ghd4546,"QS 로 보면  영표 최소 13승
                     형준이도 13승은 했어야 되는 울 투수들

원석이도 11승은 충분히 했어야 되는데"
ghd4546,영현이 동현이 밑에 중간 계투 잘 쓰고 무리 시키지 않았다면 동현이도 홀드 싸움.영현이는 무난히 세이브 1위?
,이건 내삼각
ghd4546,생각 순전히 😁😁😁😁
,결국
히히하하호호허허,박영현은 무조건 9회만 주자 없을때만 써야하고
,손동현은 8회만
,선발 7이닝만 ㅠㅠ
똑똑한 꽃사슴,참고:전에 소형준은 두산전 7이닝 1실점으로퀄스플을해서 승리투수를했다
히히하하호호허허,가라비토 데드수스라
,배제성이 시즌 아웃이라 5트릭이번주 불펜 쓴다햇나보네
히히하하호호허허,지난주 못 던며서
,던져서
박경철,오원석 엘지 후
박경철,엘지 가 무서워
히히하하호호허허,엘지전엔. 좌선발 쓰는게 맞긴해서
,견제 못하는 헤이수스보단
,푹쉰 오원석 나가는거 같네요
지루한 코끼리,어후 내일은 꼭 이겼음 좋겠네요
,롯데우취 안되면 롯데것도 같이 번갈아 봐야겠네요 ㅋㅋㅋㅋ..
박경철,케이티 도망가자 4위하자
,기도합니다
리차드,브리핑해봐 어찌이길건지
jrrtk0713,진짜 패션팬들 늘어난거 체감 확되네
jrrtk0713,사진
,오원석 4이닝 1실점 / 패트릭 5이닝 0실점 7-1
MCSI,불펜 13이닝 19실점
jrrtk0713,불펜 최소이닝 팀인데 무너진거면 감독탓이 아니지
,제일 편하게 시즌치르고 후반기에 무너져? 이건 본인들탓이지 마무리제외
jrrtk0713,쓱은 어차피 이 중요한시기에 에레디아이탈이라 DTD일듯 다시
스타븐슨1민혁하스,"⚾️이번 주 경기 일정⚾️️

☑️주중
‣ 9/9(화) 18:30 두산 vs KT (수원🏠)
‣ 9/11(목) 18:30 KT vs LG (잠실🚌)

☑️ 주말
‣ 9/13(토) 17:00 KT vs 삼성 (대구🚌)
‣ 9/14(일) 17:00 KT vs 삼성 (대구🚌)"
고기굽는 나무늘보,우리 신인드래프트 오재원 뽑겠죠?
고기굽는 나무늘보,이름이 좀 그렇지만
,그런이름이 두산 오재원?
cho,케이티아 두번째 두산 탈락
