id,text
@zzangaeong,스윕승 향기 맡고 익산에서 잠실 날아간 위즈티비 칭찬해
@시루떡-p6l,21:16위즈티비가 패요가 아니라 케이티위즈 경기력이 똥. 이었던 것!! 속상해하지 말구 많이많이 원정 다녀 주시고 찍어 주세요!! 케이티위즈는 위즈티비가 밤잠 못 자게 계속 야구 잘해라!!!!!!!!!!!!!!!!!!!!
@ssoo-na,"한)결국은 더워지고 선선해질려하면
여지없이 상위권인 이팀~
본인들만의 서사를 매년 쓰고 있는 이팀...
진혁이마저 크트로 가면서 더 눈길가는
이팀...
진짜 강팀은 우리 강팀이라 유난떨지 않아도 그냥 인정하게 되는 이팀...
거기에 진혁선수가 오늘 승리에 기여했다는게 기분이 좋네요
크트 선수님들도 시즌 끝까지
부상없이 마무리하길 바랍니다
스윕축하드립니다"
@Loooop_1010,13:27허경민.. 얼마나 기쁜건지 감도안옴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
@peachb3138,2:09원석아 겨드랑이는 괜찮은데 hip은 아직 덜 친해
@햅삐-m6b,소형준 고영표 거의 매번 퀄스해주고 잘 던져주는데 득점지원 좀 많이 해줘라ㅠㅠㅠㅠㅠㅠㅠㅠ
@52parkbang,"타팬) 이번 직관 다 가봤는데 주일이햄이 안 계시고 신세희 치어리더님이 계시더라구여
근데 되게 노력하시는 모습이 너무 좋았어요 실제로도 잘하셨고 덕분에 너무 재밌었어요"
@쥬쥬-w9m,아저씨들 장진혁 얼굴 왜이리 좋아해요
@밍밍밍-c7j,"소형준 어디가서 마음의 짐이 있었다 이런 인터뷰 하지 말어.....
너 아녔으면 이 팀 가을야구 꿈도 못꿨어"
@인간적으로-o7e,어제는 진짜 박영현이 고생많이했다.. 형준이 8승 너무 축하하고 형준이 퍼컬 선발 맞다!!! 진혁님 너무너무 감사합니다..ㅠㅠㅠㅠ 어떻게 쓰리런 칠때마다 이렇게 값지지
@5댕샤오메이,"소형준, 장진혁 선수 잘 한거는 우리 크트 팬 모두가 잘 아는 사실이고 여기저기 포지션을 메워주는 강백호, 그리고 영현이 진짜 고마워요."
@hyeyounjang1260,장진혁 홈런소식에 버선발로뛰어온 한팬크트가서 잘하고있고 사랑받고있어서 너무좋네
@여름-p7u,0:56위즈티비 왜 왔냐고 잡도리하는 소형준ㅋㅋㅋㅋㅋㅋㅋㅋㅋ하지만 이겼죠?
@toothpaste_is_taste,4:44우리도 똑같은 생각 했는데......그때 진짜 세상이 무너지는 줄 알았어요.........
@쥬쥬-w9m,오윤석 부상 너무너무 속상하다!!!!!!!!!!!!!!!!!!! 얼른 나아요
@름이-k6p,17:53이런거 넣어주시면 킅팬들 좋아죽죠
@Hee_Yeon31,소형준 7이닝 1실점하고 패전먹는줄 알았어요 타자님들🥹
@쪼쪼-d2w,영상 보는 내내 나도모르게 웃고있었다.. 영상 담아와주셔서 감사합니다~^^ 황재균 선수 이틀내내 완전 잘하다가 어제 실책에서 진짜 다 말아먹을뻔 했는데 이겨서 다행이네요ㅋㅋㅋ 영현선수한테 사과하는거 보기좋아요
@coloreve.v,"요즘 혁이들 ,, 너무 잘해준다"
@kt2752-s2,19:43치영선수 팔이 빼빼로..
@돌멩이-q3s,와 스윕하는 동안 영상 기다렸는데 드디어 올라오는구나ㅠㅠ
@park.seowoo,2:09미쳐
@꼰대남-p4w,"매년 초중반까지 죽을 쑤는데 8월 말 쯤 되면  어느 틈에 성적이 올라가 있어
이 팀 정말..."
@ABC-w4n,ㅋㅋㅋㅋ허경민이 장진혁 낳앗나요 ? 왜케 조아햌ㅋㅋㅋㅋㅋ 귀엽네 저 아저씨ㅋㅋㅋㅋ
@muha9332,특대형준 선발 복귀에 승리까지 축하해다치지말고 행복야구 하자
@songyi2250,2:09큐알없애고 포카로 출시해주세여 ㅋㅋㅋㅋㅋㅋ
@coloreve.v,대형준 역시 너다 .. 선수들 덕아웃에서 다들 누구보다 기뻐하는 모습 보소 ㅠ ㅠ ㅠ ㅠ
@그런대로세상만사,우리진혁이축하해
@Marring3,21:26등장 등장 등장 마음도 참 예뻐ㅠㅠ🪽
@소미솜사탕분들,"한) 첫째진혁선수 환대해주고 안아주셔서감사합니다 
 내향인이라  먼저다가가질못해요 
먼저다가가주시고 칭찬많이부탁드려요  
진혁선수역전쓰리런홈런에 입가에미소가 사라지질않네요"
@emma-tt9cb,와 오늘 위덕 너무재밌어요 피디님들도 이제 선수들이랑 친해진(?) 것 같은데 ㅋㅋㅋㅋ 잡도리하는 선수들한테 기죽지마시구!!!! 내년에도 계속 같은 피디님들이셨으면.. 케이티위즈는 최저가입찰 이딴거하지말고 예산을올려서 많이찍게해주세요 우리팀은 콘텐츠로 팬부지런히모아야해요 8ㅅ8 감다살좀..!!!!
@S2._.S2e,2:09냅다 엉덩이를 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
@S2._.S2e,3:27건우선수 뽀용뽀용 귀여워요 ..
@lovemelee1942,"나도 8회 무한 뛰었다 ㅋ 진혁선수 속이 뻥 뚤림!!!형준선수 잘 던졌는데 승챙겨서 너무 좋아요~
우리 선수들 더위에 수고했어요!!"
@ryeowon8405,13:27잘생긴 첫째 혁이홈런을 제일 좋아하는 우리의 허경민 선수~ 넘 좋아요.
@beanpark1911,행복해요 세경기 모두 고생많으셨습니다
@별이모,"형준이는 선발투수가 운명인거였어 퀄스 뽝!!!
장진혁 역전홈런 뽝!!!
승투 뽝!!!!"
@yuri_rainbow,"우리 혁이 오빠들~ 얼굴천재, 야구천재"
@밀성대군,장진혁..관상은 과학이당..
@lovelove-je9ym,"위즈티비 기대안했는데, 고맙습니다🫶너무 좋다는여!!"
@바닐라빈-n5o,"허경민 넘 웃겨ㅋㅋㅋ 
진혁이 홈런에 젤 좋아하네ㅋㅋㅋ"
@jin_a616,17:54호백이 너무 귀엽다>_<
@be_yeoned,2:09ㅋㅋㅋㅋㅋㅋ아 진짴ㅋㅋㅋㅋㅋㅋ오열중ㅠㅠㅠㅠ원석선숰ㅋㅋㅋㅋㅋ큐ㅠㅠ
@꺄울-ktw,장진혁의 미모와 실력은 정비례한다ㅠㅠ
@이히히히히히히,어제 장진혁은 차은우 안부러웠다 진심
@고양이-m5w3c,진혁선수 웃는 모습 보조개 자주 보고 싶어요~^^
@빵-n7l,위팁 익산 갔다가 바로 잠실 가서 스윕하는 모습 담아주셔서 감사합니다고생하셨어요
@ju_mi-q8m,19:01잡도리를 숨쉬듯 하네
@김선애-g5t,원석선수.. 그냥 있는 그대로가 젤 멋져요.ㅎㅎ 왜 갑자기 낯설게 낯가려용?ㅎㅎㅎㅎㅎㅎㅎㅎ 위즈티비 덕분에 행복한 월요일 스타트했네요.ㅎㅎㅎㅎㅎ 우리 선수들 분위기 너무 좋아 보여서 너무 좋아요..ㅎ 화이팅 가을 야구 꼭 가자!! 화이팅
@coloreve.v,4등 위즈 !!!!!! 기특혀 첫째 혁이
@toothpaste_is_taste,0:26위즈티비 패요 아니다!!!!!!!!!!!
@SeoulSoul-play,한팬 : 우리 진혁이 KT선수들이 이뻐해주는거 보니 감사하고 뿌듯하네요 작년 이맘때도 진혁이 홈런 많이 쳤었는데
@그림자-y3o,12:538회 초인데요? 장진혁 역전 쓰리런~~
@소소하다-s6s,므찌다 진혁~~ 형준 승리 추카추카
@경숙김-z7x,장진혁선수는사랑입니다~♡
@아몬드봉봉-x7n,소형준 박영현 강현우 유신고 트리오가 너무 기특해셋다 종신 케이티해줄거지?
@룰루랄랔,21:16케이티가 잘해서 승요티비 만들어줘라!!ㅋㅋㅋㅋ
@햇살잊-o7u,무한 허그의 감동ㅠ_ㅠ 눙물이... 잘생겼다 장진혁!!!
@mjmj-jmjm,사!랑!해!요! 장진혁!
@reju_en6158,14:09눈물이 왜 나누.......🥹
@sweetpotatoes92,강현우 소형준 베터리 좋았다
@yhs9145,공격의 물꼬를 터준 여름사나이 김민혁 최고!!
@eunjiboss,6:13강백호다
@wizzip.v2,미냐기 진짜 지냐기 사랑하는것 같은ㄷ
@animationlove_you,내일부터 사직에서도 화이팅!
@박긕싁,위즈티비도 8회초 되기 전까지는 심장 졸였을듯 해요ㅋㅋㅋㅋㅋ
@toothpaste_is_taste,ㅠㅠㅠㅠㅠㅠㅠ익산 썸머리그 찍다가 잠실로 날아간 위즈티비의 노력이 헛되지 않았다!!!!!!! 위즈티비 패요 아니다!!!!! 앞으로 당당히 원정출장 갑시다!!!!
@lucyminh,소형준 좋아 죽는구나 ㅋㅋㅋㅋ
@apfhd123-u4r,위즈티비는 승요가 맞다.
@minjjong42,어제 직관갔는데 장진혁 선수 너무 멋진 쓰리런 보고 진짜 너무 좋아 죽는줄 알았습니다 ㅠㅠ 스윕시리즈 고생하셨어요 다들!!
@웨일-p5y,아아아ㅏ앙 장진혁 너무 조아유ㅠㅠㅠㅠ 분량 더 쥬세요ㅜㅜ 인터뷰 더 길게ㅔㅜㅜㅜㅜㅜ 장진혁 최곤데ㅜㅜㅜㅜ 장진혁 사랑해ㅠㅠㅠㅠㅠ
@sally02270,스윕승과 가을야구 확정하는 것 너무 좋습니다.
@user-bu5jj4yd6r,4:39우리 릴라.. 릴라처럼 앉아있네 정체 들통나지 않게 조심해
@이긍쀼,건우 ㅋ 그렇게 귀엽게 웃지마 나도 자꾸 따라 웃게되잖아~ㅋㅋㅋ
@longcat2323,일요일에 레이디위즈 분들덕분에 안쳐지고 열심히 응원했던거같아요 내일도 가보자 가을야구 가보자고
@coloreve.v,우리가 랜만 스윕을 했다고요 !!!!!!!
@user-pk4kt4lf8c,스윕너무 신나요
@sjxubsijw,하...애증의야구...끊어야지 하다가도 이맛에 또 야구를 본다니까...오늘 강포수도 좋았다...!!!!!
@luckyweathergirl,XXXXL형준 향해 박수쳐 … 고생했어장진혁 선수 에이 설마 했는데 진짜 홈런쳐서 또 마루에서소리지름쇼 …
@정희윤-g6p,진혁선수  웃는 모습  넘  좋다역전  쓰리런  홈런 추카추카  혀    쭉쭉  가보자구요
@달나라토끼-c9v,이번 잠실 시리즈는 도파민만 가득..다 너무 재밌었다어제 8•9회말엔 너무 떨려서 토나오는줄 알았움..
@2ssolra,잘 지내는구나 진혁아 잘됐당
@lucyminh,"역전 쓰리런 타자가 배트 맞을 뻔 했군요. 장진혁 선수 역전 쓰리런 너무 통쾌했어요.  소형준 선수, 박영현 선수 항상 응원합니다. 강현우 선수  잘 하는 참 좋았어요"
@lielie0,스윕승 좋아아니 오원석 겁나웃기넼ㅋㅋㅋㅋㅋㅋ ㅠ 원래 이런캐릭터냐고ㅠ
@와우-m7p,매일 응원할게 KT
@솜니-x2p,"진혁 선수 홈런으로 덕아웃 분위기 완전 업된거 보기좋다,,그래 이렇게 이기면 얼마나 좋아! 앞으로도 자주 이기자"
@yichongi74,진짜 잘 생겼다 ~~
@r22ang,아니 안치영 빼빼로 토시 뭐여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
@yuri_rainbow,형준-현우-영현.. 유신고 베터리 짱이다
@wizzip.v2,"사내자식들이 오ㅑㄹ케 허그를 하고 난리여 남사시럽게
너무 따뜻하고 보기 좋구먼"
@꺄울-ktw,20:01나왔다 화면에 잡힐때마다 함박웃음 짓게 만들어주는 외인이
@또리-h2m,어제 스윕 진짜 맛있었다
