id,text
낭만&참치,누가 1군 오더에 넣자고 헀나요 현종이 보다는 쓰임새가 많다는거죠
오리지날트윈스,야구보러가야되는데
춤추는 불곰,"이영빈도 안되는데, 한화전 연탁석 홈런 경험도 있고 일요일 안타쳤으니깐 함지켜봅시다."
오리지날트윈스,한화는가기싫고
즉흥적인 당나귀,비가 1미리에서 3미리정도면 하지 않을까요?
춤추는 불곰,한화야 네일 올러 꼭 만나라
오리지날트윈스,오늘폭우라안할듯요
양심있는 삶,내일 더블하려나
오리지날트윈스,더블없어여
,내일도비오는데요
즉흥적인 당나귀,그럼 오늘 한화가 지길 바래야겠네요
,그럴 확률은 적겠지만..
즉흥적인 당나귀,일단 선발 싸움에서 완전 밀리니ㅠ
힘이센 앵무새,근데 날씨 이렇게 좋은데 비 올까요?
즉흥적인 당나귀,일기예보에 비온다고 했거든요
즉흥적인 당나귀,지금 다 흐린 상태인데 1시부터 비온다네요
범석아!,내일 드디어
,드래프트 하내요
슬픈 오리,오늘 우취일까요..?
범석아!,내일 2시 다들 엘한결 오기를 소원 빌어봤으면 좋겠내요
홍창기,방수안깔아났나
더위먹은 금붕어,WWW
홍창기,방수포안깔아놨나
춤추는 불곰,"엘한결이 뭔가요?
엘지한화 결승 3연전 하자는 얘기인가요?"
홍창기,제발야구해라창기보고싶다
범석아!,전주고 박한결 선수 내려오면 좋겠어서
,엘한결 말해본겁니다
,내일 신인드래프트 진행을 하거든요
,2시에
홍창기,관심없네
,엘지야 박한결이는 엘지혀고 안맞어 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ
엘팬들 정신차려,박한결 유격수도 안되고 2루수 정도 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ
엘팬들 정신차려,신재인 뽑아야 혀는디 아님 오재원 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ
맑은 제국,내일 서울고 이호범 뽑을 거 같던데요...
gym,이호범 엘지지명갈듯
,이호범일듯
맑은 제국,엘지는 1픽에서 야수 뽑아서 성공한 적이 없어서
gym,근데 올해신인지명픽 크게없다고하던데
맑은 제국,일단 키움은 브콜돼 아들 무조건 데려갈거고
뽀송한 너구리,혼챵기안타날료보료라~~~
꼭 이래야 되니?,저도 아직 분이안풀려요 2승이 뭡니까??2승이 승부조작단도아니고 5승만해줬어도 매직넘버 4아니면 5일겁니다 지금요
꼭 이래야 되니?,키움한테 왜 못하는지 매년 궁금함
2025.V4,하루빨리 우승확정짓고 야구좀 맘편히 보자!!
귀여운 수달,오늘 우취면 낼 더블헤더하나요?
춤추는 불곰,실력으로 KT 이겨버립시다.
