id,text
@Lilly-o7v,하..내일은 홍창기 나오는 덕직 볼 수 있겠다ㅠㅠㅜㅜㅜ
@과몰입하는요정,12:21박관우 허벅지 부여잡고 입 삐쭉거리면서 나가는 거 아파서가 아니라 타격 기회 놓쳐서인 듯 ㅋㅋㅋㅋㅋㅋ아 이 얼라야 ㅜㅠㅋㅋㅋㅋㅋㅋㅋㅋ
@timeflies6892,"베테랑이 잘하면 좋고, 신인이 잘해도 좋고, 완쾌 후 돌아온 선수가 잘해도 좋고, 오랜만에 라인업에 올라온 선수가 잘해도 좋고, 대타가 잘해도 좋고, 트레이드 되서 우리팀 된 선수가 잘해도 좋고.. 난 엘지를 사랑함 ㅜㅜ"
@uset-sq6gk5vp-k8n,톨허스트 고척적응이 어려웠을 뿐이지 장소가 바뀜에 1선발인것을 증명 해내고 대전에서는 큠춧가루의 기적이 일어났는데 키움은 물론 한화 입장에서도 불펜데이 예정이라 다시한번 큠춧가루 뿌리고 4게임에 매직넘버 8로 만들면 땡큐~~~
@과몰입하는요정,07:55직관에서 이때 김현수 엄청 열심히 달리다 홈세이프 되자마자 안도의 한숨 쉬면서 터벅터벅 웃으며 들어가는데 진심 눈물났음...
@dohidohi-t3y,나눠 쳐요 나눠 쳐 좀 ㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠ 하이라이트 덕직 다 너무 기다렸다고 ㅠㅠㅠㅠㅠㅍ
@han_LG,"!!80승 선착 & 매직넘버9 축하해용!!톨허스트 6이닝 무실점 고맙고, 스틴이 선구안으로 3볼넷 미쳤고 맹구 다리 아픈데 열심히 뛰어줘서 너무 고맙고 오지환 살아났고 홍창기 돌아와서 너무너무 좋고요..햄장 도미노피자 수비🩵 신민재 미친 점프 수비였고요 윙크까지..ㅋㅋ 8회부터 계속 무사 만루에서 점수 내고, 대타로 나온 선수들까지 계속 안타 친 거 미쳤어요!! 약속의 8회에서 8점 낸 거도 미쳤고ㅋㅋ 암튼 오늘 너무 행복하게 봤어요..ㅋㅋㅋ 그리고 박동원 오랜만에 2루타랑 우리 본혁이 너무 오랜만에 나와서 안타 쳐줘서 너무 좋다ㅜㅜ"
@후리지아-t7w,본혁이 나와서 너무 좋아요~
@안뇽하시오_22,창기야 너의 이름만 봐도 너의 얼굴만 봐도 너의 등장곡만 들려도 반응을 해 이정도면 사랑이야… 다치지마 아프지마 영원히 엘지해..
@e3v5u,"뛰는게 고통스러워 보여서 고맙고 속상하네요
전에 무릎에 물빼면서 경기한다고 했던데 또 그런 상태인건가ㅠㅠ 제발 아프지 말아요 맹"
@furizia3040,통쾌한 승부 다들 오늘 너무 고생많았어요~~80승 선착 축하해요
@채별,본혁이 오랜만에 나와서 안타도치고 넘 반가웠어~~
@6z-fc2lh,영빈이 ㅠㅠ 오랜만에 1군 안타 !!! 앞으로도 잘해부자 항상 응원하고잇어요
@soul.yulluy,나눠칩시다 이제!ㅋㅋㅋㅋㅋㅋ큐ㅠㅠ
@본혁아,"구본혁 선수 나올때 팬들이 소리 엄청 지름
거의 홍창기 선수 나올때랑 비슷했을정도로모두가 그리워했던 구본혁선수!! 오늘 잘해줘서 너무 기쁘다"
@auspicious_twoo,그리웠다 하이라이트..새로 시작하는 주에는 다시 연승하길!!
@안대희-c5f,한숨 돌렸다... 나 지난주에 완전 심장 쪼그라들뻔 했오......
@gaeggottt6766,진짜 오랜만에 하일라이트 올라오는 기분
@dakdiwjxlclqjjz,"오늘 같은 경기를 보고싶었어요...ㅠㅠ 이게 얼마만이야.. 

글구 우리 본혁이 자주자주 선발출장했으면 좋겠당"
@our_lgtwinsclub,13:27우리 본혁이 이렇게 잘하는데 도대체 왜 그동안 수납한거긔ㅠㅜㅠㅜㅠㅜㅠㅜ13:39성호도 이렇게 잘하는데 제발 자주 써주시긔ㅠㅜㅠㅜㅠㅜㅜㅠㅜㅠㅠㅜ
@SsOolovely,우리 꼭 우승하자... 나는 계속 너희를 잡고 응원할테니 너네는 우승 꼭 놓지 마라...
@hoody_1,12:22만루에 안타칠 기회 잃어버려서 삐진 복숭아 도련님ㅋㅋㅋㅋㅋㅋㅋ 다음주에 시원하게 안타쳐주세요️
@혀누-i4i,우리 엘지가 살아난다아아오지환이 너무 좋다 ㅜㅜ
@양한마리-b6m,오지환 선수 힘내요!! 늘 관심의 대상 질타의 대상이라 마상도 많을텐데 흔들리지 않는 엘지 사람 고마워요! 응원합니다!!!
@세리머니-p7s,80승선착 ㅊㅋㅊㅋ
@inaa4515,그런데 어제부터 홍창기 타석 전후 배경까지 정말 작정하고 잡아주지 않나요? 감동적 🥹
@마이콜쪼아,"80승 선착 축하합니다 
우승 가자~"
@윌슨캘리,어제랑 7점씩 나눠치지 그랬어…..ㅋㅋㅋㅋ 그래도 잘해서 기분 너무 좋다!!!
@키키-q8d,구본혁 드디어 봤네요
@yunziday,"80승매직넘버9!
창기 덕직 보자"
@lgbbasoni,매직넘버 이병규
@princess_white_mouse,오늘은 그냥 다 잘했네요🩷
@Zzzo_02,하..엘튜브 너무 보고싶었어…
@hoody_1,15:11본혁선수 좌익수 나왔던데 못하는게 뭐에요~ 외야까지 만능이여버려~~ 엘튜브 선생님들 글러브는 누구꺼 들고 오셨는지 물어봐주세요!
@별이반짝-i8s,대체 구본혁을 주전으로 쓰지 않는 이유를 도통 몰것네요..보경을 좀 빼주던가 하면 될것을 ㅡ.ㅡ
@younmingeun1783,"지면 짜증에 욕을 한 바가지 하는데..
그래도 이기니까 좋다.. 이놈의 공놀이..
한화한테 계속 쫒기는데.. 오늘만 같았으면.."
@xionknight,"톨허스트 멋지다!
풀시즌 뛰었으면 어땠을라sk
체력문제만 없으면 외인 탑 5 안에 들었을거같습니다. 가을에 좀만 힘내주고 내년에도 같이가자!!"
@skevhdvw,왐마 나 6:0에서 껏는데 14:0이 되어있네누.....사랑해욤
@파니이,"문보경은 타순좀 내리고
구본혁 선발로 쓰시길"
@Booktraps_KimEung-Eae,홍창기 안타안타날려홍창기!!
@푼수-b9y,엘지의 4번타자 문보물 살아나자 개추----->
@Ljy9815,"매 경기가 오늘만 같기를,,,, 3.5 게임차 방심하지 말고 파이팅~!"
@my6v6,"톨허스트 완벽한 피칭 너무 듬직해
다 너무 잘 해줘서 고맙고 좋았지만 대주자/대타로 나왔던 본혁이 영빈이 천성호 김준태의 안타 특히 좋았다
내일 덕직 볼수 있어서 월요병 자동 치료 예정인것도 너무 좋다 창기 나오는 덕직이라니 ㅠㅠ 너무 설레잖아"
@바바바-p6l,문보경 PTSD온다~~~타격이 너무 조용해
@김은숙-m5d4f,날다람쥐 신민재 ㅎㅎㅎ 수비가 완벽하네요
@부엉이아빠CEO,해설자만 빼고 모든것이 완벽한 경기였습니다
@yeyek1890,오늘 직관 갔는데 지쨔 너무 신나써요 문성주 선수 엄청 잘 보였어요!!
@TheKakamilan22,썸넬 톨허스트 넘 믿음직스럽고
