id,text
키작은 너구리,잡을 수 있는 경기들을 놓친게 너무 많아서 땅을 칠 일
pd1802,키움전 스윕당한게 아직 너무 충격이네요
고기굽는 햄스터,투수도 그렇고 찬스  못살리는 중심타선도 문제
pd1802,케이티 5-0에서 역전당한경기도 그렇고
,이틀전 엘지전도 충분히 이길수있는데 짐
키작은 너구리,짧게나마 6월 중순부터 보면 완전 승기를 잡은 경기도 아닌데 뜬금없이 대주자 기용한다고 5회에 중심타선 다 빼질 않나
,"그것도 1,2위팀들 상대로ㅋㅋㅋㅋ"
고기굽는 햄스터,이젠 감독욕도 아까운데
별빛,"내년에 아시아쿼터제 쓰면 투수만 세명 데리고 오면 좋겠어요.
타선은 지금도 괜찮은듯 해서."
키작은 너구리,결국 뒤집힌 경기들이 너무 많고 더블스틸같은 주루로 이긴 경기도 있지만 견제사나 주루로 놓친 찬스들을 세어보면
고기굽는 햄스터,선나마 투수안키우고 머했노
키작은 너구리,감독이 손댈때마다 흐름 넘어간 경우들이 너무 많음
pd1802,차라리 강인권이 나았다..ㅋㅋㅋ
키작은 너구리,이 팀은 창단후 선발 육성이 힘들었던 부분이 있었지
,딸기도 사실 두산팜이고
,이태양 - 승부조작
별빛,"1라운드 뽑는 애들 다 제대로 못키웠네요. 아궁
다들 제구문제.."
고기굽는 햄스터,투수못키우면 틀드를잘하든가
키작은 너구리,1라운드... 지금 이전의 규정이라 1라운드팜이 엉망ㅜㅜ
귀여운 북극곰,"22년 9등 23년 포스트 시즌
24년 9등 25년 ???"
키작은 너구리,그러다보니 단기간 퍼포먼스 구창모한테 대형계약 체결시키게 되고ㅜ
고기굽는 햄스터,엘지 김영우 1라 10번인데 잘던지드만
별빛,이번에 뽑을애들도 투수는 부족하다던디;
키작은 너구리,ㅋㅋㅋㅋㅋ신영우같은 애를 뽑아가지구
귀여운 북극곰,사진
고기굽는 햄스터,올핸 8위로 마무리할것같네
키작은 너구리,투수 어쩌려나 사실 내년 불펜도 걱정
,선발도 선발인데ㅋㅋ
키작은 너구리,김휘집은 군대부터 보내버리고
키작은 너구리,올해같은 야구를 2년 더 봐야하다니
,에휴ㅎㅎㅎ
고기굽는 햄스터,휘지비는 내년 아시안게임 도전해야지
키작은 너구리,이호준은 타팀 재취업은 힘들다 봐야겠지
키작은 너구리,박준순을 밀어낼까?
키작은 너구리,김영웅을 밀어낼까
고기굽는 햄스터,모르지
,안뽑히면 군대가는거고
phi,초보감독의 자만심 야구
대단한 코알라,오늘 엔씨 성남갈지말지 발표하나요?
고기굽는 햄스터,진만이한테 물어보셈
phi,창모 이름만 들어도 머리는 지끈지끈 가슴은 부글부글
김단디 사랑♡ 백구,다들 굿모닝여!!
고기굽는 햄스터,굿애프터눈
김단디 사랑♡ 백구,전 방금 깼어요
,ㅎㅎ
고기굽는 햄스터,쉬하고 세수하고 물한잔ㄱ
박경철,https://m.blog.naver.com/yeopnws/223984580775
,엔시 창원1300억 거절
