id,text
@admiral-pw6wm,오늘 숨은 MVP는 천재환
@lemonellie__,0:22엔씨팬들 가슴 뛰게 하는 그 멜로디 METEOR is back
@user-nnn4,말 많을 수 밖에 없고 뭐 부상이 많아도 팬들 마음에 깊게 있는 선수임을 확인한 경기.. 없어서는 안될 선수이니 내년엔 제대로 준비해서 다음 시즌 길게 볼 수 있길
@user-zm3ct9lz2m,먹튀니 사이버투수니 말이 많지만 창단부터 엔씨 야구 봐왔고 20년에 굵직하게 잘해줬던거 기억하는 팬으로써 돌아와줘서 너무 기쁘다 오늘 직관 열기가 다르더라 우리 꼭 건강하게 오래 보자 창모야
@윤후-w5z,구창모 복귀전이 너무 강력해서 박건우 생일이랑 천재환 호수비가 묻혀버린 느낌이네ㅋㅋ
@Nncdinos_r1cd,천재환!! 진짜 ㅠㅠ 천재만재시다… 천재환 선수의 끝까지 열심히 하는 모습이 정말 감동입니다
@안니용23058,"오늘정말 구창모도 잘했지만 나머지 불펜들도 너무 잘해줬다!!
그리고 천재환 진짜 사랑한다"
@sonervou,천재환 수비 너무 좋았다
@Hahaha.2020,"그동안 왜 안나오냐고, 유리몸이니 사이버투수니 해도 이렇게 돌아오고  3이닝 무실점하는거 보자마자 화가 싹 풀리더라 너가 엔씨팬들에게 그런존재다 창모야"
@송이-i2g,4:017:34천재환 🩵🩵🩵
@phantom7545,"8:07진짜 너무 행복하네요 ㅠㅠ 사랑하는 준영, 창모선수 등판하다뇨!!! 건강하세요 ㅠㅠㅠ (영규 선수도 너무 좋아요 등판 안하셨지만.. ㅠㅠ)"
@iamtonywife,우리 천재  최고
@정수빈-q7u,"와..그냥 재능이 지린다
오늘 힘빼고 던지기도 했고 빠른공 구속이 원래도 높은편이 아니었는데 구위가 저정도 나오는건ㅋㅋㅋ 그냥 벽 느껴지는 재능이다 진짜"
@bell_dingdongdaeng,주자는 쌓았지만 잘 마무리하는 우리 투수들... 심장은 아팠지만 이겼으니 됐다🩵
