id,text
김광현2000K(구멋짐),네이버 오늘은 브리핑이 안뜨네요
wlg,이대로 3위로 확정된다면
,준플레이오프 지면 이숭용 계약 파기 해
,류중일 감독 모셔라
,강병식 오준혁 바꾸고
상어,ㅋㅋㅋㅋㅋ  이제 법적으로 된다니까 상어도  내년부터는 뺏기겠네 ㅋ
,난 공기계 냈다가 공기계 빳겼는뎈ㅋ
상어,글고 류중일나이가 몇인데
김광현2000K(구멋짐),"요즘은요 바구니에 휴대폰 전원 끄고 내라고
한데요"
,수업끝나고 조회다하면 그때 전훤킴
,전원
김광현2000K(구멋짐),가끔 지폰 전원 키지도 않고 그냥 오는 딸 ㅋㅋ
김광현2000K(구멋짐),무섭다요 ㅎㅎ
,저건 뭔지
내가감독이다,김광현 잘해라 니가지금 못하면 팀 3위에 걸림 돌이된다 느린 슬라이더는 금물 여태 투피치 투수에서 빠른 포크볼을 던져봐라
김광현2000K(구멋짐),오키오키
,잘해야함
조뱅 영결까지❤️(구 랜디),몰폰하신거예요?ㅋㅋ
정아~낡지마~♡,재계약 파기 할수있음?
김광현2000K(구멋짐),"지금은 점심시간이니까 신나게 하고
몇시간 안남은 시간동안은 하지마요
걸리면 안되니"
,이숭용?
정아~낡지마~♡,네
,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
,희망사항
김광현2000K(구멋짐),ㅋㅋㅋㅋㅋㅋㅋ
,모두의 바램
,세트로  ㅋㅋㅋㅋ
내가감독이다,류효승 긴장 하지마 하던대로 잘하면 돼
정아~낡지마~♡,"현대사단,추순실,김재현~다 나가"
,프런트도 싹다 물 갈이
김광현2000K(구멋짐),우리의 류효승 공잘보는데 잘하자 홧팅 ㅎㅎ
김광현2000K(구멋짐),요즘 동상이몽에 이대호 나오자나요
정아~낡지마~♡,봤어요
김광현2000K(구멋짐),어제는 친구자격으로 추신수 나오고 ㅎㅈ
,ㅎㅎ
정아~낡지마~♡,보기싫더라구여~ㅋㅋㅋ
김광현2000K(구멋짐),그러니까요 ㅋㅋ
정아~낡지마~♡,"참나 ㅋㅋㅋ 일도 제댜로 안하면서 ㅋㅋㅋ
방송에 출연만 잘하넼ㅋ"
내가감독이다,고명준 안상현 홈런포 가동 오늘도 가동 류효승도 거들자
정아~낡지마~♡,안붙잡아~제발 그만둬
김광현2000K(구멋짐),최정.안상현.고명준.류호승 ㅋㅋㅋ
김광현2000K(구멋짐),홈런치고 소고기랑 나머지 안타치자 ㅋㅋ
커피조아,어제 저희 이모 승요됨요 하 ㅋㅋㅋ
정아~낡지마~♡,ㅇㅈ요 안잡을테니 그만둬 ㅋㅋ
정아~낡지마~♡,제발 올해를 끝으로 단장 대행 좀 마쳐주라
