id,text
@cho.32,효승선수 데뷔 첫 연타석 홈런 축하드려요!!!!!!!
@stella-mb3eg,효승이 응원가 주세요
@user-ji5sbv1ak,직관갔었는데 처음 홈런 치고 이젠 없겠지.. 하는데 또 치고 이젠 진짜 없겠지.. 하는데 또 치곸ㅋㅋㅋㅋㅋㅋㅋ
@snwjd_ii,얼마만에 홈런공장 가동이야ㅜ 타격 오늘처럼만 해주길..빨리 효승선수 응원가 만들어주세요 근데 불펜 진짜 강하다 로운선수 2이닝 완벽하게 막아주시고 경은선수 1이닝 무실점 110홀드 축하드려요병현선수는 1이닝 2k 무실점 쬬터리 너무 좋아..다들 넘 고생하셨고 내일도 화이팅!!
@hsa0301-o2s,"또 잔루 파티될 뻔할 때 나온 박성한의 역전 적시타가 오늘 경기의 
큰 반환점이었다고 생각함. 우리집 유격수 최고️"
@Heeweekgo,홈런 공장이 정상 운영해서 직관가서 먹으려 했던 홈런볼 안 먹어도 배불렀어요
@숙희즈-q3p,랜더스 진짜 너무 사랑하실게요
@2020hoon,반드시 우리가 3위로 가을 간다!!!홈런 공장 쉴새없이 돌리면서
@듀-z2j,류효승선수 응원가 기깔나는걸로 하나 부탁드리겠습니다
@bornin2002,민수야.. 일이 느리구나.. 얼른 외주맡겨서 떼창 무조건 가능한걸로 하나 쪄오거라..
@lye20626,"오늘 진짜 랜더스스러웠어요!!! 홈런 공장 제대로 가동!!!
효승 선수 응원가 웅장하게 뽑아주세요 민수단장님~~~~!!!!!!!!"
@wonwon8354,"아니 오늘 낙서 커플 진짜 시선강탈ㅋㅋ
경기내용도 재밌고 저 커플도 재밌고
눈이 즐거웠음ㅋㅋ"
@악악-w8e,홈런랜더스 정말 사랑해 앞으로도 이렇게만 해줘 선수만큼은 아니겠지만 야구는 나에게도 인생이다 랜더스가 자랑스러운 날이야
@수매애_____앵,효승이가 홈런넘기는 속도로 왔어요
@유현덕-o9o,심판 오심을 이겨내고 쟁취한 승리 축하합니다
@aamm-x3x,직관 역대급 재밌었습니다ㅋㅋㅋㅋㅋㅋ
@bori-q4i,우리도 5방 칠수있었어..내일 앤더슨 승도 챙겨주쟈ㅜ
@HnY-bo3lm,공포의 8번타자 류효승 누가 막을건데??!!!!!!️
@도리-f7d,효승아 진짜 우리팀 복덩이ㅠㅠㅠ홈런 축하해 너무잘했어~~
@aldhshssf,홈런의 팀이 맞다니까
@Landersloverofkk29,류효승 멋있다
@잼민이-j2t,5연속 홈런이네요.ᐟ.ᐟ 홈런공장장이 발동해버렸네요
@닼콩-d3f,3위랜더스 빅볼랜더스 야구재미따 재밌어
@함렘하트으쓰기,증맬루 감격스럽고 행야였어용~ 우리 인천팀의 컬러가 보여서 더더욱 ㅋㅋㅋㅋ 하룰러라 ㅠㅠ 효승선수님 건야 행야
@짱루어맨,진짜 오랜만에 직관가서 목이 터져라 응원한 경기다
