팀,긍정비율,중립비율,부정비율,예시_긍정,예시_중립,예시_부정
한화,96.1,0.5,3.4,"https://open.kakao.com/o/gdenA0Qh 신생 이글스 응원 톡방입니다. / 정우주 틀트
말하는 분은
한화팬 아님 / 뭔 개솔이고 정우주 안됩니다.",하주석,"하반기 시작하면서 투수 혹사라고  말했는데

 투수 관리 잘 되고 있다고 했던분들 다 어디 갔는지

진심 궁굼함

투수 운영도
이기나 지나 쓰는 선수만 쓰니 오버로드 걸리지 / 우린 잡을선수가 너무 많아서 힘들것 같네 너희가 걍 써라 어쩌것냐 창기두 잡아야 혀는디 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ / 9월안에 잔여경기 다 못하면 어떡해되나요?"
LG,92.9,0.0,7.1,삭제된 메시지입니다. / 헉 혹싱 어디가면 볼수잇나영 / 키움전 복수 꼭 해주세요 선수님들,,"박준현이는 1순위 예상이라는데 일단 인성에 문제있는 아이가 과연 잘 될런지...학폭의혹은 둘째치더라도 강판될때 이상군 코치한테 공 휙 던지고 인사도 안하고 내려가는거보고 학을 뗐네요 저도 학교때 선수 잠깐 했었는데 어이가 없더라구요~엘지는 인성에 문제있는 선수는 절대 뽑지말아야겠죠 ㅋㅋㅋ / 솔직히 엘지는  이번주 만나는 상대가 모두 1선발급 3~4명 외인투수라 4승이상 힘들듯 3~4승 목표로 한화 상대도 좋고 일정도 좋고해서 연패는 없을듯 그저 3승2패 해주기를 바래야죠 / 오늘 승기선수도 4회까지 잘던지고 지환선수, 동원선수, 현수선수 앞에 엄청 잘했는데 불펜이 다 깎아 먹고 마지막에 891""2""만 남아버림너무 다 잘했는데 앞에 세운 공이 너무 묻히는 느낌이라 한번 짚어봅니다"
롯데,97.3,0.0,2.7,한화는 용병빨로 2위라도 갔지 / 5~6위 정도  ㅋㅋ / 호세성님 닮은 외노자 25년째 못데려오고 있음,,"쫄보가 누구야? 몸쪽 못던지는 애 / 박쫄보 주자만
쌓이면 얼굴 굳어지면서 얼굴에서 비오듯 땀나고 도망가는 피칭 볼넷 주다가 볼넷 안주려고 가운데 던지다가 바로 피홈런 맞는 쫄보 ㅜㅜ / 약체팀한테 ............핸디캡인듯..........."
KIA,92.4,0.0,7.6,"휴 ㅠㅠ자리 안나네요 / 저도가요 / 낼 광주경기는 또 취소 되는 거 아닌지 걱정스럽네요.. 
낼 저녁에 또 비소식 있던데..ㅜㅜ",,"아니 아무리 경기가 중요해도 그렇지 / 아니 네일 진짜 화병나서 재계약 안 하겠네 / 각팀 선수들 조심해주세요 ㅜㅜ
호령이 다치면 기아팬 다 들고 일어납니다
거의 친인척 팬심인데
호령선수가 본인 팬덤을
과시 안해서 그렇지
팬들은 김도영보다 김호령
인간적으로 서른넘어 꽃 피우는데
호령이는 건들지말자
올해 기아팬은 호령이보려고
응원하는데 놀랬잖아
기아팬들 지금 여러모로 예민해 ㅋ
그나저나 그와중에 손은 왜 고운거야제발 타박상도 안된다~~~"
SSG,97.0,0.0,3.0,내일 창원 비예보 요ㅜㅜ / 알맹이가 없어요 정보부족 / 그니까요 중덜중얼,,근데 뭐 딴팀도 투수 쪽을 안 보진 않을 거라서 / 타코 자르자고...왜 안자르는건데 / 그래서 외부 안잡는다는 말을 저렇게 이야기 하는거 같아요
KT,91.4,0.7,7.9,또 허리 아프면 / 4일 쉬어서 불펜 걱정은 안해도 됨요 / 형준이 9승이라도,빠따만,배제성이 시즌 아웃이라 5트릭이번주 불펜 쓴다햇나보네 / 불펜 최소이닝 팀인데 무너진거면 감독탓이 아니지 / 제일 편하게 시즌치르고 후반기에 무너져? 이건 본인들탓이지 마무리제외
삼성,92.9,0.5,6.5,올해는 10억 넘고 / 내년에는 4억이래요 / 오,ㅇㅇㅇㅇ,"이대호 앞에서 두 팀 껴서 뭐 하노? / 9회 2사만루까지 채우는거보고 숨막혀 죽다 살았네 디아즈 쇼트바운드 못잡앗으면 역전이엿다 / 삼성 지금 1,2선발 빼고 흔들리다보니까 불펜투수가 일찍 가용됨
 결국 스노우볼 굴러가서 잘던지고 있는 원태인선발때도  뺄때 못빼고 1이닝이라도 더 굴리려다 실점 먹는 경기가 생기는거 같음"
NC,93.8,0.8,5.5,콜 / 폴쉐 타고 와서 꼬지 쏘시면 멋지것네 / ㅋ,엔구행,구창모 늦게 온게 아마 부상당할까봐 기간을 는거 같에요 / 구창모 공이 굉장히 느린데 왜 타자들이 못 치는 건가요? / 뭐라하는 사람들은 20엔씨 안보신분들같네
두산,89.9,0.7,9.4,네네 / 투수는 부업이래요 / 오늘 처음 보기 시작해서,조수행 최고다ㅠ,"투수는 계속 부업이라고 하는데 저래요 / 만에 하나 엄준상이 진짜로 야수를 할거라고 하면.
아쉽지만 그럼 저희는 다른 쪽으로 가야 될거 같습니다. 김지우라던지 / ㅋㅋㅋㅋㅋ 이게 뭐여..."
키움,90.8,0.0,9.2,다 신청할리가 없다고 / 사줬음 좋겠네요 백호라도~~!!! / 박준현 정현우 하영민 용투2  5선발 되고,,"그렇다고 해도 4명은 절대 안돼.. / 기존 규정 알려줘도 틱틱, 뭐만하면 반말, 어쩌라는건지.. / 아습이 가 떠돌이냐 어  느그한테   갈 게아니제"
