id,text
올해는 9등,전 오늘 한시 교대라 ㅎ
벨곰✨️,퇴근하면 어떻게될까요
올해는 9등,투수들도 더 키워야해요
주디곰,나 퇴근해도
올해는 9등,무단 퇴근?? ㅋㅋㅋㅋㅋ
주디곰,뭐 누가 뭐랄꺼얔ㅋㅋㅋ
,일두없는데
벨곰✨️,"사장님의 입장에서 
어떤가요 ㅋㅋㅋ"
올해는 9등,주디곰님이 사장님?
주디곰,아뇽
주디곰,나중에 반차 처리 하믄되쥬
불곰,사장님이 혹시 남편분?ㅋㅋㅋ
,ㅋㅋㅋ
벨곰✨️,어차피 지금 2군에 있는 투수들 어느정도 정리가 될거 같아요 올해 지나면 야수도 그렇겠지만 그럼 거의 신인급 투수들만 남게될거라...키워내는데도 시간이 좀 걸릴거 같네요
주디곰,ㅋㅋㅋㅋㅋ아뉴 이번주는 일이 아예 없 ㅋㅋ
벨곰✨️,이게 두산현실...ㅜㅜ
올해는 9등,투코 데려와야쥬
주디곰,긍까요
,외부애들 비싸게 사느니
,코치들 월급 더 주라고
,그럼 서로 오겠다고 할텐데
올해는 9등,"연봉 1억보장해주면
제가 해볼게요(?)"
불곰,헉ㅋㅋㅋ
,근데 1억은 줘야함 진짜 코치들
,요즘물가가 ㅎㄷㄷ한데
올해는 9등,코치되면 택연이랑 놀아야징><
주디곰,두산이 젤 박봉이라든데
벨곰✨️,ㅋㅋㅋㅋㅋ
,그니까 두산이 코치 대우가 별로라서 다들 안온다는 소문도 있었잖아요
,난병헌이랑 놀까?ㅋㅋㅋ
sms,오늘 우취?
벨곰✨️,가능성 있을듯요
,이따 오후부터 비가 오는거로 나오긴하네요
해야해야,4시부터 많이 오네요
벨곰✨️,일기예보가 시시각각 변하니 좀더 지켜봐야할듯...
주디곰,창원엔 비 안온다 그러고 왓어 ㅌ
벨곰✨️,그니까...ㅋㅋㅋ
벨곰✨️,https://m.sports.naver.com/kbaseball/article/529/0000073516
벨곰✨️,고딩 맞아..?
주디곰,대학생인줄
,군필 대학생
보성운,아이돌은 아니지만 어른 돌 ㅋ
주디곰,와 근데 애가 엄청 단단해 보이네
,안현민 안부럽다
