id,text
@밀리밀리-z9k,"안재석이 끝내기를 치면 두산 연승이 시작된다는 얘기가 있다.
나는 이 이야기를 무척 좋아한다."
@soojoomom,잭로그 진짜 넘 고마워 없는 집에 장남으로 입양와서 고생한다
@juchae812,아무리 9위라도 10승투수 한 명은 만들어보자
@judyum7951,두산 사랑해 끝까지 포기하지 말아줘!!
@꾸니끼_02211,오늘은 수비도 뭔가 편안하고 그냥 다 편안했던 경기…… 잭로그 오늘 공 너무 좋았고 박준순도 그냥 너무 좋았다……🥹 안재석은 어케 안 사랑하는데.
@doooooo_0,오늘 진짜 다 고생했다! 내일도 잘 부탁합니다! 준순이 4호 홈런 축하해ㅐ
@H-mu8vt,순이순이 슈퍼루키순이!!! 우리팀 복덩이내년이 더 기대되는 박준순 화이팅!!!
@soojoomom,와 안재석 타격 미쳤네
@현숙신-l9n,잘했다.잘했어.어떤 경기든지 우리 두산이니까...연승에 얽매이지 말고 씬나고 즐겁게 하고픈 플레이 맘껏 한다면 어제 오늘 같은 멋찜 뿜뿜 경기는 따라온다는걸.베어스니까 두산다운베어스다운 경기력만 계속 보여줘.두산이 두산이어서 두산이니까 나는 마니마니 사랑한다.어떠한 모습이든 어떠한 위치에 있든 있는 그대로의 두산 자체를 좋아하고 사랑한다.오늘도 고생했구  수고많았다.
@dbswl_11,재석이가 친 끝내기 홈런 이후로 6연승을 더 했으니까 이번에도 연승 이어가보자 .ᐟ
@서하람-s6n,준순 선수 4호 홈런 축하드려용
@빕-g1z,준순이 올해 100안타 조심스럽게 기대해봅니다
@manbotaelovemi_sn,박준순 잭 로그 최고
@뭔가요-d2q,좋아좋아 두산이 좋아  우리선수들 화이팅
@후하후하-m5y,"그래 가을 떠나서 끝까지 즐기자 이제 진짜 얼마 안남았다 끝나간다 생각하니 
너무아쉽네 ㅠ 하 .. 그래도 
최강두산 화이팅!!!!!!!"
@너만바라봐-d3w,두산 서울고 애덜 포텐 터지니 무섭다 ㅎㄷㄷㄷ
@yr3yr198,안재석 벌크업 하니까 예전 김재환 전성기 시절 느낌이 나네 시원 시원!!
@wfbbc4354,베테랑들이 살짝 내려오니 루키들이 다해주는구나. 우리 아기곰들 너무너무너무 기특하고 대견해️️️
@봉주르동주르,순위가 어느정도 확정이 되니 선수들에게 하고싶은대로 해보라는 주문이 루키들 경험치 먹이는데 있어서 아주 중요한 순간이 되는거 같네요
@강동훈-d4g,날봐날봐 준순 준순이 멋지다
@Tunnergaming3764,"안재석 오늘도 2안타 3출루
갈수록 지리네요"
@wongyo0802,포기하지마 우리도 아직 포기안했어
@raonkimxx,우리 타자들도 너무 잘해주고 선발 6이닝 잘 막아줘서 고맙고 병헌이도 홀드 축하해!!
@baegyaxxd,병택 영상 내일 다시 올라오나요🥹
@graceyang1281,베팁 오늘 원정간 보람이 있네요
@SUNoo.gf.,준순아 3할 100안타 가보자
@그요트,준순아 밥 많이 먹어! 비시즌에 수비 연습 많이 해서 내년엔 개막전부터 함깨하자🥹
@shsjnsjfh,병헌아 유니폼에 싸인도 해주고…너무 고마워… 앞으로도 더 열심히 응원할게!!!!
@cat.06,정수빈이 1루에 주자 있을때가 진짜 안타율이 좋은거 같아서 너무 좋다
@bskpjw,"박준순 진짜 두산은 잘해줘야한다. 
이유찬 번트 정말 예술적으로 하네.
모두 수고많았습니다.
계속 오늘처럼만 해줬으면..."
@su-mq3tv,박준순 때문에 미래를 보는 시즌이네
@kkkkkkkuuuuuuu,미안하다 안재석 난 너가 제대하자마자 이렇게 잘해줄지는 꿈에도 몰랐다 솔직히 말해서 내년 시즌의 안재석도 그리 기대가 크지 않았다 근데 오자마자 바로 캐리해버리네 ㅋㅋ 너 진짜 응원 많이 할게 앞으로도 파이팅
@user-hz5ir5op9i,아닝..베팁 아까 모 올렸자나요ㅜㅜ 보고시퍼여
@fsest4u-c3d,간만에 댓글달 맛나네
@as.ffgsaqwedd,재스가승호야
@OnePiece_Rupi,잭로그는 내년에 같이 가도 나쁘지 않을 듯
@만판지니,두산 화이팅
@kh-jjinbosu,조감독과 함께 내년도 쭉 달려보자.
@tookangkimm6910,7:30하하 롯데팬이었구나
@Kidnuno17,재석이 미쳤네. 재석아 너 대뷔한 해에 나는 너가 자신감만 생기면 무조건 날라다닐거라 생각했다.
@YOUTUBER_NAIVE,최강 두산!
@마루모케-h4w,재환아 석환아 환장하는 환환듀오 2군에 잇어줘 몸 다만들고 올라와
@ssgirl09,피치피치국 언제까지 복숭아철인가요~ 공이 달아요
@원유달-z9p,잘 하고 있어요
@ts9236,병헌이도 잘해서 잘생긴 이름으로 부르려고 했는데 이름도 잘생김
