id,text
산뜻한 갈매기,한화야 신재인 우리현테 양보 안할래 양보혀면 공짜로 백승현 줄께 거래혀자 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ
26년 롯데우승,무시해요 일부로 저러는거 같은데
재미있는 펭귄,이사람은 거꾸로 이야기 하네... 롤링스가 공이 더크다 스카이 라인보다
키작은 나무늘보,쟤 왜 여기서 저래
행복한 펭귄,한화방가서 해 여기 롯데여
포기하지마로떼 1일차 ⚾️,라팍에서 박진이면 이닝 길게는 못 끌거 같은대
26년 롯데우승,저도 충청도 인대 롯팬이애요
엘지야구.. 너무쉬워,여기롯방이다
산뜻한 갈매기,충청도분이신가요?말투가 구수해서...
26년 롯데우승,대~~~~호
,때문에
,이대호 때문에 롯데에 갇힘 ㅠㅠ
,젠장
산뜻한 갈매기,그 이대호도
,우승몬해봄
26년 롯데우승,뭔가
멍한 퓨마,"롯데는 신인들 무덤이다
신인들 죽이지말자 롯데야~"
26년 롯데우승,이대호 응원가 들으면 울컥함
,댜~~~~~~~~호!!
산뜻한 갈매기,애들이 키움꺼린다던데
포기하지마로떼 1일차 ⚾️,대 ~~~ 호
산뜻한 갈매기,롯데도 꺼릴려나
26년 롯데우승,이온 마려운대 자꾸 물 주니까..
산뜻한 갈매기,클린봇이 부적절한 표현을 감지했습니다.
포기하지마로떼 1일차 ⚾️,키움은 관리가안됨
멍한 퓨마,키움 롯데 서로 1위 쟁탈중
산뜻한 갈매기,키움 2군경기장
,상태진짜안좋데
거포전미르,박진이 원래 나균안하고 5선발 후보였어서  선발 준비를 나름 하고 있었음...3이닝 1실점은 될것같은데 지난 마지막겜 등판한게 조금 아쉬움
26년 롯데우승,2군은 듣기론 한롸가 제일 좋지 암ㅎ아요?
,류현진 이적료로 지어서
,잘 지엇다고
포기하지마로떼 1일차 ⚾️,메이저리그간애들 후배들위해 써달라고했는데 그돈 다주식투자했나?
산뜻한 갈매기,한화는 모든게 다 좋은듯
26년 롯데우승,들었던고 같은데
포기하지마로떼 1일차 ⚾️,나쁜넘들
하나 자이언츠,이기면 되지 뭔 말이 많냐? 걍 응원해라
미스터숀,최항 1군 콜업됬나요
26년 롯데우승,밈 보니까 이번에 2군 구장에 류현진이 사비로 스피커 놔준다고
26년 롯데우승,하던대
미스터숀,먼 개소리고
산뜻한 갈매기,ㅋㅋㅋㅋㅋㅋㅋ
만족하는 사자,님들.. 왜 다시 6위 됨요? 게임수 때문인가요?
멍한 퓨마,인제 여기서 선발 누구? 콜업 누구 이런거 물어보지마 의미 없다 그냥 그때그때봐
거포전미르,최항 콜업좀 해보자... 이런 베테랑들도 좀씩 써먹어야 강팀인데  너무 부담스런자리 신인들만 내보내지말고..
