id,text
@l111ll1I-b6o,지옥 같은 연패 기간 악착 같이 치고 달리는 저 두명의 얼라들이 그렇게 기특할 수가 없었다
@냠-e2l,0:14근데 진짜 너네가 해야돼 미안해 고마워..
@gangstadahaha,부상임에도 불구하고 원정 다 따라가며 선수들 북돋아 주는 캡틴이 있기 때문에 정말 든든합니다 ..! 얼른 돌아와서 다같이 으쌰으쌰 해요~!~!
@한태희-n6l,내 지금까지 신인이 이렇게 짧은 시간안에 수훈선수로 이렇게 인터뷰 마이 하는거 내 본적이 없다. 박찬형선수 불꽃행님들이 칭찬일색한만큼 항상 신인같은 마음으로 악바리 근성으로 나태해지지말고 항상 겸손한 큰 선수가 되길 바랍니다.
@asdf-o9n2r,나균안 박찬형 이호준선수도 잘했지만 최준용선수 어제
@wldwlddl-0000,학교 자습시간 최고의 선택
@gg0gg9gg,0:12그렇게 되었다… 부탁한다
@화이팅-r4h,우리 찬형이 매일 유니폼이 누더기구나 ㅠㅠ 고맙다.
@j_5154,"이긴건 한번 이긴거고, 한번 이겼다고 끝난게 아니고, 다시 시작해야되니까, 12연패 때 이길려고 했던 그 마음 계속 이어가자고. 간절하게. 
가자 롯데자이언츠"
@skssk1023,다른 선수들보다 강나미 주루할 때 뚱땅뚱땅 악착같이 달리는거 좀 귀여움 ㅋㅋ
@tangtanghuruhu,박찬형 마킹버튼️
@세츠린,"균덕스 요즘 너무 잘던집니다..하는거 보면 2선발임 그냥
후반기 선발진의 꽃이라고 해도 무방함
물론 타선 안풀려서 진 경기가 있긴했지만 결과자체는 늘 괜찮았으니 앞으로도 선발진에 힘을 보태주세요"
@TV-vq2il,박찬형의 발견은 롯데 최대의 수확이다   롯데자이언츠 감독 코치 및 모든 선수들 화이팅 !
@iambinibin,찬형아!!!!!!!!!!! 고맙다!!!!!!!!!!!!!!!!!!
@euxsek,14:23상남자이호준모먼트
@congbeeeeii,4:33균덕잌ㅋㅋㅋㅋㅋ 나균안 진짜 선발 등판하면서 타점 지원 못받고 안풀리고 승투 못챙겨준거 너무 미안하다.. 남은 경기도 잘 부탁한다..!!!
