id,text
웃는 사슴,이승민의 공격적인 피칭이 좋던데요
das,내년 디아즈 2년 5억 재계약하자
웃는 사슴,좀 더 쓰는 건 안될까요?
부끄러운 황제펭귄,"와이스 털자 초반에
1.2번 흔들면 가망있어"
멋진 캡틴 내사랑 구자욱,가능할것 같아요 이런 신인이 우리팀이라니~
부끄러운 황제펭귄,"디아즈 5억이면
서로 데꼬 갈듯"
lov,디아즈 제계약 해야함ㅁ
부끄러운 황제펭귄,오늘도 홈런
lov,재계약
부끄러운 황제펭귄,디아즈앞에 주자좀나가라
멋진 캡틴 내사랑 구자욱,올시즌...디아즈 58홈런 치면 짐싸서 여권들고 메이저갈수도...
das,메어저가지마
das,"백정현,김무신 이재희 내년 기약해야 겠네요"
,내년 김무신 이재희 백정현 복귀 가능
,내년에 최지광 이재희 김무신백정현 오면 좀 나아질수 있겠죠? 백쇼는 언제 올런지ㅠ
das,이종열단장 내년  디아즈 재계약하자
태인이♡,모두들 안뇽하세요^^
거상,2년 5억?
거상,무슨말인교
우리가 라이온즈다,무신 재희 정현같은 재활군 상수로 놓고 시즌 시작하면 망하는 지름길입니다. 태훈이 fa잡을지도 의문이고. 내년도 올시즌 시작할때보다 더 나은 전력으로 출뱔한다 보기 힘들어요. 트레이드든 영입이든 해야 합니다. 고만고만한 애들 터져주겠지 믿지마시길
멋진 캡틴 내사랑 구자욱,"점심들 맛있게 드시고 오늘도 
모두! 행복 🤗스마일 데이~~"
das,내년 디아즈 후라도  카리비토?2년 5억 재계약하자
추운 고슴도치,울보물은 연봉올려주고 재계약해야함요🥰
거상,계산좀 알고 말씀 하시지
das,내년 김무신 이재희 백정현 최지광 복귀 가능
거상,"방글방글요^^
아즈 재계약 해야한다고 연봉올려주고ㅎㅎ
더받아야죠ㅎㅎ
올해골글 +홈런왕 타점
3관왕 받아야죠👑🏆⚾️🥰"
태인이♡,태인님 안녕하세요 어제 이겨서 기분조아요 오늘도 내일도 이겻으면
태인이♡,그게아니고 2년 최소 26억인디 5억이라 하니깐...
거상,ㅋㅋ 또이칸다
,매크로여 머여
거상,ㅎㅎㅎ
우리가 라이온즈다,"ㅋㅋㅋㅋㅋ 
저분 매일 장문글 올리신분 맞죠?ㅎ
내년에 영입필수"
태인이♡,장문글이 아니라 횡설수설 관종 ㅋ
삼도라도,오늘 우리 이기고 롯데 지면 4위가효??
거상,두달에 5억이겠구만 ㅋㅋ
