id,text
@JJ-uz7yn,이승민 고마워
@krt1362,오늘 엠빕 사실상 양창섭임 분위기 쎄할 때 2이닝 깔끔하게 너무 잘막아줌
@슥갓-h5q,잔루는 많았지만 오늘 잘 막아준 불펜들 그냥 다 고맙습니다....6:18몬스터월 그게 뭔데.
@poohahakk,경기력 자체가 너무 좋아짐 포기 안 하고 끝까지 악바리로 해주는 게 느껴지니까 져도 덜 화나고.. ㅜㅜ 삼성라이온즈 화이팅!!!!!!!!!!!
@JSSL-r2m,양창섭 이승민 디아즈
@oeprt445,디아즈 진짜 한국에 있어줘라
@김우진-t8p,어제 끝내기 패배의 부담감이 있을텐데 불펜이 무실점으로 막아줘서 너무 고마웠음. 특히 마무리투수는 다른 불팬투수보다 항상 부담이 더하게 되어 있는데 어려웠지만 오늘 잘 막아줬음. 이제 몇경기 남지 않았고 삼성이 얼마전까지 8위였다는걸 잊지 말아야함. 우리는 1위가 아닌 이상 여전히 도전자이고 남은 경기는 비난보다는 응원과 격려가 필요함. 비판과 보완은 시즌 끝나고 해도 늦지 않고 지금은 현재 체제에서 한해 농사를 잘 마무리 하도록 최선을 다해 지지해 주어야함!! 얼마전 디아즈 DM같은 일은 당연히 있으면 안됨~~!!
@user-ahwyqyahafj23,"와 진짜 떨리는 경기였다… 일단 양창섭 선수 진짜 너무 고맙고요ㅠㅠ 이승민 선수도 피칭 잘해줘서 너무 고마워요ㅠㅠㅠ 김태훈 선수도 김재윤 선수도 너무너무 고맙습니다 징짜… 불펜들이 다 무실점 해줘서 더 기분 좋고, 우리 불펜들 살아난 것 같아서 넘 조아요..정말 오늘만 잘 넘겨보자 했는데 이겨서 다행입니다!! 덕분에 8성7성에서 5성 진입!! 가을야구 갈 수 있어요 진짜!! 쫌만 더 힘내주세요.."
@짱장미,요즘 야구 볼만해요이기든 지든 끈질긴 경기력 너무 좋아요~최강삼성
@bjan-7,디아즈 43홈런 축하합니다!!
@jack-l4v3q,승리투수 양창섭
@dday6548,이승민 선수 어느 상황이든 올라가서 늘 묵묵하게 막아주는거 진심 너무 고마워요 🥹
@SolePark-u2x6d,"12:30김재윤 세이브, 2K 축하해!! 구위 미쳤다 ㄷㄷ"
@elpatron6156,창섭이형 요즘 폼 좋아진 것 같은데요...?
@JAE-0509,이승민 요즘 보면 오승환 같이 몸이 딴딴하고 다부지게 변하고 있는것 같아서 보기 좋다
@Baegopop,"디아즈 투런이랑
불펜 6이닝 무실점 덕분에 이겼다이틀 연속 불펜 무실점이라니..너무 고맙다"
@user-tv5lo8jc5o,래아 아부지 … 재윤이형 …. 요즘 항상 고마와 .. 🫳🫳️
@BluebIood,"이번 시즌 최고의 성장캐 최고로 고마운 선수
언제 어떤 상황에서든 부르면 묵묵히 올라와서 던져주는 마당쇠 이승민.. 너무 고마워 ㅠㅠ"
@상훈이-q7h,가을가고 디아즈 50홈런 간다
@jdpjd,불펜 왜 갑자기 잘하냐고~~
@Didididididi-h2u,"구주장 말대로 악착같이 해주는데
우리도 응원 악착같이 해야될듯"
