id,text
아니,https://naver.me/GHYvC5wH
,나만 이제 봤냐 ㅋㅋㅋㅋ
,삭제된 메시지입니다.
,키움에겐 큰돈 십 ㅋㅋㅋㅋㅋ
8년차 히어로즈,클린봇이 부적절한 표현을 감지했습니다.
에큠,🤮🤮🤮🤮🤮
8년차 히어로즈,https://m.sports.naver.com/kbaseball/article/311/0001909555
아니,그쵸 이거 연봉 4천은 받고 나가는거죠?
사막여우,그래도 요즘 주홍이가 점점 터지는 것 같아서 .. 그건 정말 긍정적인 것 같아요 타석에 들어섰을 때 기대가 조금씩 되는 ? ㅎㅎ
에큠,받는거 맞네요 ㅋㅋ어제 누가 자꾸 안준다 했는데
웃는 거북이,저런 방출된 애들 무더기로 주워올 돈 어껴서 2군에 투자 좀 하고 어린애들 몇백만원이라도 더 챙겨주면 좋겠음
아니,아님 야구용품 지원좀 해주던가;;
8년차 히어로즈,https://m.sports.naver.com/kbaseball/article/117/0003980651
8년차 히어로즈,키움보약♡
웃는 거북이,"알칸타라 또 뭔가 후라도 때처럼 내년 신인지명권이나 현금받고 용병 트레이드 시도 하는 짓 하지는 않겠지....
연봉 올려주기 싫어서 결국 풀어주고"
,용병 잘하면 이제 불안합니다요
아니,알칸은 그정도 아님..ㅎ
웃는 거북이,알칸보다 못하는 외국인 용병 수두룩
책사랑,알칸 전국구 에이스 지금 컨디션은 폰세 못지 않아요
푸른하늘,"5 6 7 8 9 위팀이
포스트 시즌 이전에 동시 구단 해체 할수도 있는겁니다.
그럼 어부지리로 우리가 가을야구 가는거죠"
푸른하늘,"지금 구단의 문제점,단장 감독 구단 코치진 까지 분석적이고  과학적인 그리고  계획적이지  않은  운영이 문제가 되네요. 지금의 상황이 전부 예측 되었던 건 아닌가요, 그럼 그 예측에 대한 대책도 없으니 참 한심할 따름입니다.
이거 아니면 말고 모 아니면 도 식으로 하는 경기와 구단 운영에 문제가 많아 보입니다.

염경엽  감독이 왜 그 자리까지 올라 갈걸 알겠네요.내년에도 이런식이라면 아무리 좋은 리소스 자원을 갖고 있더라도 우승은 못할겁니다.10개 구단중 우승 못한구단은 유일하게 히어로즈 밖에 없어요. 다 이유가 있다고생각합니다"
노래하는 참새,배지헌이 그러는데 김영우 거르고 김서준 뽑은거는 윗선에서 시킨 거라던데
,기사 또 썼네
붉은돼지,폐급들 줏어다가 재활용도 못해보고 다시 버리게 생겼네
큠큠,그럼 장필준은 4천만원 받고 한번도 경기 안뛰고 나간건가요..?
천명,네
천명,에휴~ 정신나간 프런트 그저 싼값만 생각하다 돈만 쓴꼴... 그나마 오선진만 그런대로 제몫을...
용짱,장필준은 딱히 기대도 하지도 않았어 근데 🤔 너무 한데 이거
용짱,선수가 돈 다시 반납해야지
용짱,4천만원이면 다른 선수한데 썼지 장필준 진짜ㅡㅡ
에큠,김동엽 뽑고 시즌전 큠 홍원기인가 단장인가 누구 인터뷰기사에 “ 4천주고 뽑은 선수 홈런 20개만 쳐줘도 뽕 뽑은거 아닌가” 라는 기사 본 기억이 납니다 ㅋㅋ 얘네들 생각 자체가 이 수준이에요 ㅋㅋ
천명,"큠이 자꾸 네임벨류보다는 효율야구 실리적인 야구하고 싶어하는 건 알겠는데 야구스킬, 과학적인 분석보다는 무당 불러서 찍는 야구하는 듯.."
천명,장석이 딸 인턴 이슈도 그렇고... 감사 같은거 함 떠서 뒤져보면 ㄹㅇ 엉망일거 같음요
응원하는 북극곰,오선진도 은퇴를 고민하겟네.
붉은돼지,오선진 내년에 살아 남을까?
이정민goeo944,강진성선수랑김동엽이2군에없네요
,어디가나요
웃는 거북이,"오선진은 수비력은 진짜 확실해서 백업으로는 더쓸수 있고
되도않는 듣보 코치들 좀 쳐내고수비코치 시켜도 잘할듯요..

강진성 김동엽 장필준 이런양반들 다 망하고 그나마 한명 건진 느낌..."
푸른하늘,단장이하 모두 모럴 헤저드 네요
에큠,오선진 연봉 4천인데 선진씨는 돈값은함…
운동하는 고양이,엄상백 풉
,고양애들한테 두들겨 맞는ㅋㅋㅋㅋㅋ
에큠,ㅋㅋ 쟤도 안쓰럽다
