id,text
@user-xd5qz3yx7f,주홍이 머리 내린거 예쁜데 왜 ㅋㅋㅋㅋ
@슈조,큰얼라들이랑 야선주니어들 데리고 키즈카페 컨텐츠 ㄱㄱ
@렌렌-i4x,건희 도루저지 너무 쩌는거같어
@커피우유-v8d,큠튭 대전 출장 보내주세요!!히어로즈 남은경기 다 이겨랏♡
@ss8199110,한화에도 큠춧가루 팍팍 뿌리고 오자
@gomi1027,"홈에서 이기니까 얼마나 좋아 ㅋㅋ 우리 선수들 어제도 넘 수고많았고, 진짜 큰승호코치님... 너무너무 좋아요 ㅠ 넘 따뜻하시고,  오래오래 히어로즈에 있어주세요. 
근데 대전 큠튜브도 가셔야 하는데.. 제발 우리도 응단이랑 큠튜브 좀 많이 보내주세요. 꼭 이기는것만 담지 않아도 선수들 보고싶어요. 응단 있으면 우리도 더 열심히 응원할수 있다고요 ㅎㅎ
선수들 대전에서도 좋은 기운으로 한번 이겨봅시다! 세상에 불가능은 없다고요 ㅋ 나는 할수있다, 나는 이긴다!!
아자아자 히어로즈 화이팅!!"
@jj__y3n,17:40경기 잘 된다니까 큠튭 언니들도 대전 가자
@stella2325,너네도 가을 날씨가 좋지? 팬들도 가을 야구 참 좋아해그냥 그렇다고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이겨줘서 고마워!!! 홈경기 진짜 얼마 안 남았는데 큠튜브 많이 볼 수 있게 해줘
@dnxmsk22,오석주도 주님 맞잖아.......
@V1키움-w6q,우리팀이 초록의 기운이 있긴 해
@qwerty-uiop777,투타의 완벽한 밸런스완벽했던 히어로즈부탁인데 한화좀 이기자~~제발히어로즈 화이팅
@호롤롤로-k3w,아 지금 3월이면 조켄네……
@won-ey4ie,21:59송캡이 요즘 무슨 유니폼을 입어도 초록 신발만 신는 것도 기운 때문인가요? 그렇다면 초록초록의 기운을 받아 대전에서 스윕하고 오소서
@김C-o2b,"박정훈이는 손주영,최승용 급 이상으로 성장할것이라고 감히 확신한다"
@usso._.k,열심히 하면 언젠간 빛을 보게 되어있음을 증명하는 사람들️
@3_starlight,시즌 끝날때까지 최선을 다해주세요 !
@UhaHA-o6k,6:047:4611:2013:48득점 순간들주성원선수님 시즌첫홈런 축하드립니다!!️️
@Juuuuuupem,"어제 직관했는데 짱잼이었어요,,, 우리 큠 사랑해ㅠㅠ️"
@아리-c8w3q,드디어 올라왔어요~큠튜브 감사합니다~️고척승리는 히어로캠 보는 날 기쁨두배요~영웅들 최고다잉~🫰2025끝까지 부상없이 화이팅하세요
@user._.2023,"우리 팀에 주님이 많아 좋다 ㅋㅋ
남은 경기도 최선을 다해주길 바라요!"
@Ilililili123,주홍이 덮머 진심 예쁜데 뒷머리 짜르면 더 예쁠듯
@foring-sf2ey,"라울은 현우 입양함?? 맨날 둘이 붙어있어
잘 키워줘요 라울아빠"
@user-xd5qz3yx7f,잘한다 잘해 성원이 시즌 첫 홈런 축하
@동다-e2y,16:46킹!!!성!!!원!!! 홈런축하해요성원선수 시원시원하게 웃는 모습이 너무 보기 좋아요~ 그동안 1군에서 홈런이 많지 않았는데 어제 홈런이 앞으로 1군무대에서도 빵빵 터트리는 물꼬를 튼 한방일거같네요 요즘 감잡아가는 모습 보면 내년이 더 기대가 돼요 어제 직관갔는데 너무 재미있는 경기였어요!!!ㅋㅋㅋㅋㅋ
@d_w_1919,이기니깐 얼마나 좋아큠튭도 보고 인터뷰도 보고ㅠㅠㅜ대전에서 제발 큠춧가루 팍팍 뿌리고 와줘그리고 주홍아 머리 진짜 이뻨ㅋㅋㅋㅋㅋㅋ잘 어울린다!
@nnyyjjaa,주성원 선수 시즌 첫 홈런 축하드려요
@qwerty12891,윤성아!!!!!!! 볼 좋았다!!!!!
@dori9058,22:00그런이유라면 매일 핑크나시에 초록바지 입어도 ok
@paransky,"화욜 로다석엔  LG팬이 많아 조용했는데, 목욜엔 큠팬도 많고~ 핑크 응원봉도 많고~ 해서 더더 신나고 좋았습니다나는야 고척 직관 승요~"
@말랑콩-u9v,얼마 안 남은 홈 경기 이겨줘서 고맙다 히어로즈야 ㅠ
@lizzhiz,박주홍선수 머리자른거 너무 잘생겻더용
@jaimeeyun8265,초록 바지에 핑크 티까지뭐 송캡이 좋다면 참아줄 수 있지
@sookim3353,영민이랑 성문이는 계속보고싶다ㅜㅜ
@최윤-c5w,"하영민 선수 성격도 좋아보이시고 훈남이세요!!오늘 한화전 화이팅 하세요^^
늘 응원합니다♡"
@hsk3eeeee3,시즌최종전은ㅋ뭔가 더 열심히하는거?? 다 와서라도 열심히 해줘서 너무 기쁘고 고맙다 팬들은 !!!!시즌중에도 이렇게만 포기말고 해준다면
@호랑-r6d,건희 선수 너무 잘한다
@r3cw20s1k,준표 선수 넘 귀엽고 주성원 선수 홈런 축하해요 앞으로 남은 경기도 잘해줘요 화이팅
@qazmlp._.q,가을은 히어로즈의 계절
@heamil2go,주성원 선수 홈~런️ 축하해요~~
@참새-u9q,출근길에 연달아 보는 혀캠 얼마만이야~ 내년시즌엔 출근길이 바쁘게해줘
@ph_7738,"우리 선수들 쫄지마요.
할 수있다. 이긴다.
긍정의 힘으로 3연전도 화이팅"
@조몌-s7k,송모님….우리 캡틴 초록바지5개만 더 사주세요 ㅠㅠ 출근룩으로
@fennel-g5u,그...한..화 이길수 있을거야 그치? 화이팅!!
@zzzzuuy,잘한다잘한다하니까 더 잘해 우리 선수들 ㅠ
@Sstwtdj,윤석원선수 이렇게 잘할때 군대가는게 너무 아쉽네요.. 그래도 시즌 중반보다는 희망이 좀 보이는것 같아서 다행이네요 어린 선수들도 지금 이 자신감 가지고 내년시즌에 제대로 포텐 터뜨렸으면 좋겠어요
@bandamkaromi,경기 보고 단상인터뷰 보고 나와서 밥 먹고 길 건너니깐 버스 막 나오더라구요.. 잘 다녀와^^).. 개강 크리 터져서 원정경기는 못가...
@aabbccdd-j5u,건희가 너무좋아요....
@srfch-b6x,초록바지의 기운으로 화이팅!!
@초코엘모-z6u,성원선수 경기 끝나고 남아서 연습하고 간다고 했던 것 같은데 결국 이 날 홈런 ㅠㅠ 너무 멋지고 앞으로도 계속 좋은 모습 보여줘요
@젤리.니트,12:14ㅎㅎㅎㅎ 큠튜브 자막 진짜 잼써요~
@최종목표는한태산이랑,기분이 너무 좋아!!!!!
@rrrR-yt,캐슬민옆에 딱붙어있는 거대정후니 왜케 기엽짘ㅋㅋㅋㅋㅋㅋㅋ 삐돌이 준표도ㅋㅋㅋㅋㅋㅋ
@dkssudgktpdu,이기고오자!!!!!!!
@커엉드,"주성원 화이팅!!
파워히터주성원!!!"
@장정순-g1m,키움선수들 시즌 막판에 힘을모으네요 그래 끝까지힘내고 내년에는 가을야구하자
@이후-g9s,김태진 선수! 항상 응원합니다~♡♡♡
@rimmmmmmmmmm,분위기 너무 좋은데 시즌 마지막이 다가오다니 참이 분위기 쭈욱 이어가서 내년에는 더 많이 이기는 경험을 하고 10위만 하지 말아봤으면 좋겠다 히어로즈 파이팅!!!!
@애아뽀으,내 성원끼끼 시즌 첫 홈런 축하해요
@밍러,ㅇㅋ….단장실 위치 확인
@이후-g9s,송캡! 초록바지의 힘을 믿어볼게요 ㅋㅋㅋ
@아니근데진짜로,고춧가루 팍팍 뿌려보자 파이팅!!
@heroes_syphf,기다렸어요 나의 출근길 도파민...시즌 최다패 갱신도 피했다는데 남은 경기들도 다치지말고 즐겁게 열심히 해주세요.
@최종목표는한태산이랑,얼라들… 이젠 화이팅도 잘함..아 기특해
@sookim3353,직관 8패 1무였는데 어제 드디어 승고맙다 애들아
@raehee1676,연승 계속 해주세오..
@우승이뭔지궁금해,긍정 긍정!!!!!!! 좋다 좋아!!!!!!
@wantpil2,와 준표야 너 너무웃기닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
@Saltbutterbread.,박윤성 주성원 붐은 온다️
@hsk3eeeee3,ㅋㅋ허당 캡틴송성문   ㅋ버건디 헬멧 ㅋㅋ
@달빛샤워-k4n,청양고추 초록색 볼수록 이쁘네~~~~
