id,text
잠룡 실버스타 채,어제도 솔직히 키움이 100퍼 질줄 알았는데
율보,"엘지가 상응세인데
당연히 뒤집힐줄"
촉촉삼겹,키움도 이길 생각 없을듯 오늘은
촉촉삼겹,내일 알칸에 초점 맞출걸요
김서현얼굴네모,낼은 우취아니냐
dragon5309,"겡문씨,
제발 정신좀 차리라...
언제까지 선수기용 패악짛할건데?"
추운 돌고래,오늘 선발투수 누구인가요?
잠룡 실버스타 채,우린듣보한테 약한데
율보,낼 잠실에 비오네
추운 돌고래,감사합니다
율보,낼 비와요??
촉촉삼겹,우리는요?
대단한 오리,엘지 어제 만루찬수 두차레   김현수 신민재 둘다 잘맞은타구 외야구 직선타정도로 실력처진다보다 운이없다가 정확
촉촉삼겹,대전은?
율보,대전은 안ㅇ몸 4시에만 오고 ㅡㅡ
,낼 우취했으면
촉촉삼겹,헐
율보,아님 오늘 우취하고 낼 와이스올려라
촉촉삼겹,최악이네
김서현얼굴네모,엘지 키움전은 100프로 우취에요.
,낼
잠룡 실버스타 채,1승이라도 했으면
촉촉삼겹,엘지 알칸 피해간다구??
앵간이,"오늘 타자노시환 때문에 주말
스트레스 엄청받을듯"
대단한 오리,잠실 우취로 취소는 희박
촉촉삼겹,아 키움 위닝 먹을 기회인데
율보,송성문 만루홈런쳐라
촉촉삼겹,이렇게 된 이상 우리가 잘해야죠 머
잠룡 실버스타 채,롯데는 오늘 세웅인가요?
mn213,"'20타자 연속 무안타' 한화, 삼성에 덜미...키움에 패한 LG와 격차 좁히기 실패
 - https://naver.me/5owwkMRL"
mn213,"무사 만루 4번타자 병살타?
정말 신의 한수
기가 막합니다.
이러니 이깁니까."
밥짓는 돌고래,내일우리 선발 누구일라나
가을야구,상대투수가 쓰러질만하면 초구뜬공 초구병살 초구땅볼  어이없는타자들 기가찰노릇
yongwoop,무사만루 병시환으로 졋다
장태수뒤ㅈ,클린봇이 부적절한 표현을 감지했습니다.
yongwoop,딱 한줄 평 어제
mn213,"집중해서 보세요. 타자들 타격자세 아무리 속는다해도 그렇지. 전혀 배트가 나가기 힘든 코스에도 휘두릅니다. 그러니 볼카운트 몰리고 결국 투수 도와주는거죠?
좀 정도껏 해야지."
gra,한화 1 : 0 삼성
