id,text
@user-mc4vn2vp6l,다음엔 우리 류님 꼭 승투 드립시다 제발ㅜㅜ
@뽀용뽀용뽀요요,"우리 류.. 우승반지 꼭 끼워주고 싶다.
응.. 끼는거 꼭 보고 싶다구..ㅠㅠ"
@이글스-f4u,류뚱은 미국가기전이나 지금이나 똑같이 그저 가장이다 ㅠㅠ 미안 류뚱
@한화가을야구가야지,문현빈 진짜 사랑스럽네
@한화가을야구가야지,진짜 노시환 잘해주니 고맙네
@지나가던나그네-r3f,현진 형님 미안해요ㅠㅠ 타자들아 현진 형님 등판 경기 전에는 특타 좀 해줘요ㅠㅠ
@_gf7073,문돌멩 기특하다 기특해
@야구한곡,문현빈
@fromnowhere_nothere,우리 몬스터ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
@ordinaryseoul,심우준 타격땜에 상심하지 말아요 수비에서 잘해줘서 너무 고마워요
@박경남-v5p,류현진 최고누가뭐래도 나의 최애 투수!
@해피데이-x6c,류현진포시트시즌에서 볼 생각하니 벌써 행복하다.
@하하호호-r6d,문현빈 진짜 올해 대박이다
@skdlftp,우리 류현진선수도 승 챙겨주자요ㅠㅠㅠㅠㅜ
@손지연-d6i,문현빈 최고고 다들 다치지말기 🥹🥹
@슈퍼맨-n8j,문현빈 너는 진짜 최고다
@relrellrelll,노시환 살아나는게 보임!!!!!!! 맘고생 심했을텐데 너무 고맙다….. 누가뭐라해도 한화에 없어서는 안될 귀중한 선수임……..
@음악소리,문현빈....진짜 클러치 대마왕...
@mmikko,이제 4.5게임차좀만 더 힘내보자
@godspeednglory,채은성 부상인데 노시환 살아나는 것 같아서 너무 좋다
@user-mi2zp8nn5t,채주장님 빠지고 걱정 많이 했었는데 생각보다 경기 잘 풀려서 다행이다ㅠㅠ
@박소연-k2m,문돌멩 그는 누구인가
@ordinaryseoul,서현아 잘 막아줘서 고마워 사랑해
@user-lalalalrarara,오늘 노시환선수 유니폼 문현빈선수 유니폼 챙겨갔는데 둘 다 잘해줘서 선수들 유니폼 다 살까봐요
@oddnill,류현진 최고🫰🫰🫰🫰🫰
@집중하자-o7g,깔끔한 투구 류현진~ 문현빈 노시환 기대이상 늘 고맙구요~
@ordinaryseoul,불만은 더 멀리 퍼져요 응원은 잘 보이지 않죠 응원의 말 많이 할께요 응원하는 사람이 더 많다는거 잊지마세요 좋은것만 보세요 한화 이글스 화이팅
@channie-ck1vp,오늘 류현진 선수 너무 잘했는뎅 ㅠ 담엔 꼭 승투!! 기원합니다
@pepsi_0103,현진이 형님 항상 고마운 마음 뿐입니다..
@대장감자이도윤,"세계 최고의 돌멩이..
너무 잘한다.. 문돌멩 장하다"
@ordinaryseoul,승투 한승혁 축하해요 감사해요
@김홍교-e1b,"류현진 선수 존재 자체만으로 큰 힘이 됩니다
류~~~뚱~~~홧팅"
@PrettyDancingModels,심우준 선수 맨손으로 흙땅 집으면서 수비하실 때 손 다치실까봐 놀랐어요. 오늘 류현진 선수 너무 잘 던지셨고 (로케이션 예술). 문현빈 선수 너무 대단! 노시환 선수도 점점 살아나는 것 같아서 다행이예요!
@n0va_x0813,노시환 살아나서 기분 좋은 한화팬
@ordinaryseoul,애둘 아빠 이동윤 사랑해 늘 든든해요 ㅠ
@moduuhappy,다음엔 승리투수가 되길
